A & M Institute of Management and Technology, ,Punjab,0186-2100122/2226260,-,www.amimt.org
A - ONE COLLEGE, ,Himachal Pradesh,+91-9805477184,-,http://www.aonecollege.org/
A . R . School of Business, ,Tamil Nadu,+914512913355,admissions@arsb.co.in,www.arsb.co.in
A B M College, ,Jharkhand,-,-,-
A C T TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
A D Biligowda First Grade College, ,Karnataka,-,-,-
A D P College,NAGAON ,Assam,91-3672-222235,-,www.adpcollege.org.in
"A D S College Of Nursing,Morena", ,Madhya Pradesh,-,-,-
A D V S First Grade College, ,Karnataka,-,-,http://www.advsfgc.org/
"A E & C S Maaruti College Of Nursing , Bangalore", ,Karnataka,-,info@aecsgroup.in,http://www.aecsgroup.in/institution/aecsmmpuc/over
"A E & C S Pavan Polytechnic, Kolar", ,Karnataka,08152222597,info@aecsgroup.in,-
"A E C S Maaruthi College Of Nursing ,Bangalore", ,Karnataka,-,-,http://www.aecsgroup.in/institution/aecsmcn/overvi
"A E C S Maaruthi College Of Nursing,Bangalore.", ,Karnataka,-,-,http://www.aecsgroup.in/institution/aecsmcn/overvi
A E C S MAARUTI D COLLEGE, ,Karnataka,-,-,-
"A E C S Maaruti School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"A E C S Pavan College Of Nursing,Kolar",KOLAR ,Karnataka,-,-,http://www.aecsgroup.in/
"A E C S Pavan College Of Nursing,Kolar", ,Karnataka,-,-,http://www.aecsgroup.in/
"A E L C School Of Nursing , Chirala", ,Andhra Pradesh,-,mail@oureducation.in,-
A E S National College, ,Karnataka,08155285050,aesncprincipal@yahoo.com,http://www.aesnc.org/
"A E T School Of Nursing , Mandya", ,Karnataka,-,-,http://www.aetinstituteofnursing.com/
"A F M C College Of Nursing , Pune", ,Maharashtra,-,-,http://www.afmc.nic.in/
A G K M College,SATHUPALLY ,Andhra Pradesh,"08641–232116,232024",agkn@rediffmail.com,-
A G S G College, ,Andhra Pradesh,"08676-233267,233276",agsgscollege@yahoo.co.in,-
A I Jat Heroes Memorial College, ,Haryana,-,principal@jatcollegerohtak.ac.in,http://www.jatcollegerohtak.ac.in/
"A J College Of Nursing,Bangalore", ,Karnataka,-,-,-
"A J Institute of Medical Sciences & Research Centre, Mangalore", ,Karnataka,0824-2225533,"deanajims@gmail.com,deanajms@ajmedical.in",www.ajmedicals.in
A J Kalasala, ,Andhra Pradesh,"08672-223371,229000",registrar@krishnauniversity.ac.in	,-
"A K G Memorial Co Operative College Of Nursing , Kannur", ,Kerala,-,-,http://akgnursingcollege.com/
"A K G Memorial Co Operative Hospital,Kerala", ,Kerala,-,-,http://www.akghospitals.org/index.php
"A K G Memorial Cooperative College Of Nursing , Kannur", ,Kerala,-,-,http://akgnursingcollege.com/
"A K Patel School Of Nursing , Gandhinagar",GANDHI NAGAR ,Gujarat,-,-,-
"A K School Of Nursing,Ahasamund", ,Chhattisgarh,-,-,-
"A K School Of Nursing,Korea",KORBA ,Chhattisgarh,-,-,-
A L Choudhury College,ALGAPUR ,Assam,-,-,-
A M A L College, ,Andhra Pradesh,"08924220269,220634",amalcollege@gmail.com,-
A M College, ,Bihar,-,-,-
"A M G Dr Satyavedam School Of Nursing , Guntur",GUNTUR ,Andhra Pradesh,0091-8647-254417;254435;252257,info@amg.in,www.amg.in
"A M G Dr Satyavedam School Of Nursing , Visakhapatnam",VISAKHAPATNAM ,Andhra Pradesh,-,-,-
"A M J College Of Nursing , Thiruvannanalai",TIRUVANNAMALAI ,Tamil Nadu,-,-,-
"A M J School Of Nursing, ,Vandavasi,", ,Tamil Nadu,-,-,-
A M K Technology Polytechnic College, ,Tamil Nadu,"044-26811411,044-26811834,9655661333",amktpc@gmail.com,-
"A M R I School Of Nursing , Kolkatta",KOLKATA ,West Bengal,-,-,-
A M Reddy Memorial college of Engineering & Technology, ,Andhra Pradesh,"08647247190,9866414252",principal@amreddyengineering.com,www.amreddyengineering.com
A N College, ,Bihar,-,-,http://www.ancpatna.com/
A N D College, ,Bihar,011-26287479,spaprincipal@andc.du.ac.in,http://andcollege.du.ac.in/
"A N M H W F Training Centre , Khurdah",KHURTA ,Orissa,-,-,-
"A N M R Training School , Birbhum", ,West Bengal,-,-,-
"A N M R Training School , Birbhum",BIRBHUM ,West Bengal,-,-,-
"A N M R Training School , Hooghly",HOOGHLY ,West Bengal,-,-,-
"A N M r Training School , Kolkata",KOLKATA ,West Bengal,-,-,-
"A N M r Training School , North 24 Paraganas", ,West Bengal,-,-,http://www.anbu.ac.in/
"A N M School Of Nursing , Nalanda",NALANDA ,Bihar,-,-,-
"A N M School Of Nursing,Beed",BEED ,Maharashtra,-,-,-
"A N M Schoolof Nursing , Kokatta", ,West Bengal,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A N M Training Centre , Anupur", ,Madhya Pradesh,-,-,http://www.ksnc.in/
"A N M Training Centre , Dindori", ,Madhya Pradesh,-,-,http://www.ksnc.in/
"A N M Training Centre , Khurda", ,Orissa,-,-,http://www.ksnc.in/
"A N M Training Centre , Puri", ,Orissa,-,-,http://www.ksnc.in/
"A N M Training Centre , Ranchi", ,Jharkhand,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A N M Training Centre , Umaria", ,Madhya Pradesh,-,-,http://www.ksnc.in/
"A N M Training Centre,Bangalore", ,Karnataka,-,-,http://www.ksnc.in/
"A N M Training Centre,Rajsamand", ,Rajasthan,-,-,http://www.ksnc.in/
"A N M Training Centre,Tumkur", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A N M Training Institute,Beed", ,Maharashtra,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A N M Training School , Giridih", ,Jharkhand,-,-,http://www.ksnc.in/
"A N M Training School , Guna", ,Madhya Pradesh,-,-,http://www.ksnc.in/
"A N M Training School , Ranchi", ,Jharkhand,-,-,http://www.ksnc.in/
"A N Mr Nursing Training Course , Hooghly",HOOGHLY ,West Bengal,-,-,-
A N P Sanskrit Mahavidyalaya, ,Bihar,-,-,-
A N R College Krishna,GUDIVADA ,Andhra Pradesh,"91-8674-242145,245737,243950,246046","info@anrcollege.edu,anrcollege@rediffmail.com",www.anrcollege.edu
A N S College Aurangabad, ,Bihar,-,-,-
A N S College Patna, ,Bihar,-,"info@anscollege.org,profspshahi@gmail.com,spshah",http://www.anscollege.org/new_site/
A N Varadarajula First Grade College, ,Karnataka,-,-,-
"A P Family Planning Association Of India,Hyderabad", ,Andhra Pradesh,-,-,http://www.fpaindia.org/index.php
"A P S College Of Nursing , Jalandhar", ,Punjab,"98724-60298,0181-4617934|01821-272657",-,http://www.paruledusociety.org/
"A P Varkey Mission School Of Nursing , Ernakulum",ERNAKULAM ,Kerala,-,-,-
A R Govindaswamy College Arts Commerce, ,Karnataka,-,-,-
A R J Polytechnic College, ,Tamil Nadu,"04367-223333,04367-224444,9750988224",	principalpc@arj.edu.in,arj.edu.in
A R R TEACHERS EDUCATION INSTITUTE, ,Tamil Nadu,-,-,-
A R S Shakhida Arts Science College, ,Gujarat,-,-,-
A R T Polytechnic College, ,Rajasthan,97993-50350,artbeawar@yahoo.com,-
A S College, ,Jammu and Kashmir,-,-,-
A S COLLEGE OF EDUCATION, ,Tamil Nadu,-,asce_khn@yahoo.com,-
A S COLLEGE OF TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
A S College Rohatas, ,Bihar,-,-,-
A S G M Rural Polytechnic, ,Karnataka,-,-,-
A S P College Commerce, ,Karnataka,-,-,-
"A S School Of Nursing, Sriganganagar", ,Rajasthan,-,-,-
"A Shama Rao Nursing School , Mangalore", ,Karnataka,-,-,http://srinivasgroup.com/a-shama-rao-nursing-schoo
A Swahindpedi Phakan College,SIBSAGAR ,Assam,-,-,-
"A V Institute Of Nursing And Medical Sciences , Jammu",JAMMU ,Jammu and Kashmir,"+91-9419109292,+91-9419119604,+91-9419190050+",avinpms@gmail.com,www.avinstitutes.in
"A V K College Of Nursing , Bangalore", ,Karnataka,-,-,http://avkedu.com/
"A V K College Of Nursing , Bangalore", ,Karnataka,-,-,http://avkedu.com/
"A V K School Of Nursing , Bangalore", ,Karnataka,-,-,http://avkedu.com/
A V Kamalamma College For Women, ,Karnataka,-,-,-
A V Kanthamma College For Women, ,Karnataka,-,-,-
A V M TEACHER TRAINING INSTITUTE, ,Karnataka,-,-,-
A V Patel Commerce College, ,Gujarat,-,-,-
"A V School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
A Veeriya Vendayar Memorial Sri Pushpam College, ,Tamil Nadu,-,-,-
A. B. M. S. P. Y. Rao Chavan Law College,PUNE ,Maharashtra,"24221002,24224607",email:yclaw@vsnl.net,-
A. D. Patel Institute of Technology,ANAND ,Gujarat,"02692-239822,233680",principal@adit.ac.in,www.adit.ac.in
A. J. Institute of Dental Sciences, ,Karnataka,+918242225533,deanajids@ajdental.in,www.ajdental.in
A. K. Khan Law College,PUNE ,Maharashtra,"020-26443068,9921921101(M)",-,-
A. M. P. Govt. Law College,RAJKOT ,Gujarat,0281-2450326,-,-
A. M. R. Institute of Technology, ,Andhra Pradesh,-,amritmes2007@yahoo.co.in,-
A. Madhya Pradesh  Law College,RAJKOT ,Gujarat,-,-,-
"A. N. M. Training Center,Bagalkot", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Chamarajanagar", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Chikkaballapura", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Davanagere", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Gadag", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Haveri", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Koppal", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
"A. N. M. Training Center,Udupi", ,Karnataka,-,-,http://www.ksnc.in/recognised_inst_anm.html
A. P. Narmada Law College,JABALPUR ,Madhya Pradesh,9826133092,-,-
A. V. Parekh Technical Institute, ,Gujarat,02812464530,avpti1948@yahoo.com,www.avpti.org
A. Y. Dadabhai Technical Institute, ,Gujarat,02629235951,aydtech@yahoo.com,www.aydadabhaitech.org
"A.A. Arts And Science College, Chennai",CHENNAI ,Tamil Nadu,"044-28553109,28526202",jaiet@vsnl.com,-
"A.A. Government Arts College, Attur",SALEM ,Tamil Nadu,-,aagaccyr@sancharnet.in,-
"A.B. Shetty Memorial Institute of Dental Sciences, Mangalore",MANGALORE ,Karnataka,"0824-2204963,2204571,2204572",absmids@nitte.ac.in,www.nitte.ac.in
"A.B. Shetty Memorial Institute of Dental Sciences, Mangalore",MANGALORE ,Karnataka,"0824-2204963,2204571,2204572",absmids@nitte.ac.in,www.nitte.ac.in
A.B.R.L DEGREE COLLEGE, ,Uttar Pradesh,-,principal@abrldc.org,-
"A.B.V. Indian Institute of Information Technology And Management, Gwalior", ,Madhya Pradesh,0751-2449702,director@iiitm.ac.in,www.iiitm.ac.in
A.C. College of Engineering and Technology, ,Tamil Nadu,04565-224535,principal@accet.edu.in,http://www.accet.edu.in/
A.C. College of Law,GUNTUR ,Andhra Pradesh,0863-2224720,andhrachristiancollegeoflaw@gmail.com,-
A.C.M.E. College Of Arts & Science,HYDERABAD ,Andhra Pradesh,040-24540412,smu@acmecollege.com,-
A.C.M.E. INSTITUTE OF MANAGEMENT & TECHNOLOGY, ,Rajasthan,-,info@acmeinstitute.com,http://www.acmeinstitute.com/
A.C.N. INSTITUTE OF HIGHER EDUCATION, ,Uttar Pradesh,"011-32543042,09350591224,09312019497,0931060311",admission@acngroup.in,http://acnsb.edu.in/
"A.C.P.M Medical College, Dhule",DHULE ,Maharashtra,"02562-201569,200317,201298",acpm@rediffmail.com,www.acpmjmf.com
"A.C.S Medical College And Hospital, Chennai",CHENNAI ,Tamil Nadu,044-26802155,contact@drmgrdu.ac.in,-
A.C.T COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
A.C.T TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,info@act.org.in,-
A.C.T.S. Degree College,VISAKHAPATNAM ,Andhra Pradesh,"0891–2714584,2783225",info@act.org.in,-
A.D. Mahavidyalaya,PURI ,Orissa,-,-,-
A.D.J. Dharmambal Women'S Polytechnic College,NAGAPATTINAM ,Tamil Nadu,-,adjdwpt@yahoo.com,-
A.D.M. College For Women,NAGAPATTINAM ,Tamil Nadu,-,"principal@adjadmc.ac.in,admcnagai@yahoo.co.in",www.adjadmc.com
A.E. Societys College Of Education, ,Maharashtra,-,-,-
A.E.& C.S PAVAN COLLEGE OF PHYSICAL EDUCATION, ,Karnataka,-,info@aecsgroup.in,-
A.E.S. POST GRADUATE INSTITUTE OF BUSINESS MANAGEMENT,AHMEDABAD ,Gujarat,"079-26301302,26300048",pgim.amsom@ahduni.edu.in,www.aespgibm.ac.in
A.E.S. TEACHER TRAINING EDUCATION INSTITUTE, ,Tamil Nadu,-,-,-
A.E.T COLLEGE OF EDUCATION, ,Karnataka,-,aetcollege@yahoo.com,-
A.G. COLLEGE OF EDUCATION, ,Tamil Nadu,-,agcollege@ageduinstitutes.com,-
"A.G. Patil Polytechnic Institute, Solapur", ,Maharashtra,"(0217)2341899,2342499",agppi.contact@rediffmail.com,http://www.agppi.com/
A.G.L. Degree College,VISAKHAPATNAM ,Andhra Pradesh,"0891–2735373,2561890,2561887,5566620",agl_information@yahoo.com,-
A.G.S. COLLEGE OF EDUCATION, ,Maharashtra,-,ed-advising@umd.edu,-
A.G.TRUST TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
"A.I.T. Instt. of Pharmacy , MALEGAON", ,Maharashtra,0255-4231670,-,-
"A.I.T. Polytechnic,Nalagarh", ,Himachal Pradesh,01795-221699,-,-
A.I.T.A.M. School Of Computer Science,SRIKAKULAM ,Andhra Pradesh,-,-,-
"A.J. College of Pharmacy , THIRUVANANTHAPURAM",TRIVANDRUM ,Kerala,04712618466,principal_ajcpthonnakkal@yahoo.com,www.ajcpkerala.org
A.J. College Of Science & Technology,TRIVANDRUM ,Kerala,0471-2618106,info@ajcollege.org,-
"A.J. Institute of Dental Sciences, Mangalore", ,Karnataka,"0824-2221456,2221466",ajims2@rediffmail.com,www.ajfoundation.com
"A.J. Institute of Medical Science & Research Centre, Mangalore",MANGALORE ,Karnataka,0824-2225533,deanajms@ajmedical.in,www.ajhospital.com
A.K. (Pg) College, ,Uttar Pradesh,-,-,-
A.K. Chanda Law College,SILCHAR ,Assam,03842-246585,-,-
A.K. COLLEGE, ,Uttar Pradesh,"05676-34416,34085",-,-
A.K. COLLEGE, ,Uttar Pradesh,-,-,-
A.K. Navajeevan College For Women,HYDERABAD ,Andhra Pradesh,24753202,-,-
