B & B Institute of Technology, ,Gujarat,02692-237240,principal@bbit.ac.in,www.bbit.ac.in
B A J S S Arts Commerce College For Women, ,Karnataka,-,-,-
"B A School Of Nursing , Mangalore",MANGALORE ,Karnataka,-,-,-
"B B A School Of Nursing , Gulbarga",GULBARGA ,Karnataka,-,-,-
"B B C Trusts School Of Nursing , Gulbarga",GULBARGA ,Karnataka,-,-,-
B B H College,PRAKASAM ,Andhra Pradesh,"08594–246284,246258",-,-
B B Kishan College,JALAHGHAT ,Assam,-,-,-
B B N College, ,Himachal Pradesh,-,-,-
"B B R School Of Nursing , Secunderabad",SECUNDERABAD ,Andhra Pradesh,040-23779999,-,-
B Baruah College, ,Assam,-,-,-
"B C F College Of Nursing , Kottayam",KOTTAYAM ,Kerala,-,-,-
"B C M School Of Nursing , Sitapur",SITAPUR ,Uttar Pradesh,-,-,-
B D Evening College, ,Bihar,-,-,-
"B D M Nursing College,Jhajjar",JHAJJAR ,Haryana,-,-,-
"B D Pandey Hospital School Of Nursing ,Nainital",NAINITAL ,Uttaranchal,-,-,-
"B D Petit Parsee General Hospital , Bombay",MUMBAI ,Maharashtra,-,-,-
B D R TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
B D Shah College Education, ,Gujarat,-,-,-
B D T College Engineering, ,Karnataka,-,-,-
B D T College Engineering, ,Karnataka,-,-,-
B E A College Education, ,Karnataka,-,-,-
B E S College Of Education, ,Karnataka,-,-,-
B E Ss Marchants Arts Commerce College, ,Karnataka,-,-,-
B E Trust Polytechnic, ,,"08232-245017,245016",-,-
B G B S Women'S College, ,Andhra Pradesh,08814273231,-,http://www.bgbswomenscollege.org/
"B G S Academy For Nursing Sciences , Mysore",MYSORE ,Karnataka,-,-,-
"B G S College Of Nursing , Mysore",MYSORE ,Karnataka,-,-,-
"B G S Polytechnic, Chikballapur", ,Karnataka,08156263181,-,-
B H B College,BARPETA ,Assam,03666-244513,-,-
B H H College For Women, ,Andhra Pradesh,"0863–2230785,2230324",-,http://www.bhhdcw.com/
"B H R C School Of Nursing,Indore",INDORE ,Madhya Pradesh,-,-,-
"B I M R Nursing College , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
"B I M R Nursing School , Birla Institute Of Medical Research,Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
"B I M T S College Of Nursing , Burhanpur", ,Madhya Pradesh,-,-,-
"B I P S College Of Nursing , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
"B I P S Institute Of A N M Training Centre , Bhind",BHIND ,Madhya Pradesh,-,-,-
"B J R College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
B J Vanijya Mahavidyalaya, ,Gujarat,-,-,-
"B K J M School Of Nursing , Kannur",KANNUR ,Kerala,-,-,-
B K M Science College, ,Gujarat,-,-,-
B K Majumdar Institute Business Administration, ,Gujarat,-,-,-
B K Majumdar Institute Business Administration, ,Gujarat,-,-,-
B K N Arts Science College,MADURAI ,Tamil Nadu,-,-,-
B K Patel Arts Smt L M Patel Commerce College, ,Gujarat,-,-,-
B K PATIL COLLEGE OF PHYSICAL EDUCATION, ,Maharashtra,-,-,-
"B K R College Of Nursing , Tiruvallur",TIRUVALLUR ,Tamil Nadu,-,-,-
B L D E A  SVachana Pitamaha Dr. P.G.Halakatti College of Engineering and Technology,BIJAPUR ,Karnataka,08352-261120/265384,bldea_engg@usa.net,www.bldea.org
B L D E A Sdjanayogi Shri Siddeswar Swami College Education, ,Karnataka,-,-,-
B L D E A Sdjanayogi Shri Siddeswar Swami College Education, ,Karnataka,-,-,-
"B L D E A Sri B M Patil College of Nursing, Bijapur",BIJAPUR ,Karnataka,-,enquiry@bldea.org,www.bldea.org
B L D E As Dr Bachana Pitambhar P G Halakatti College Engg Technology,BIJAPUR ,Karnataka,"Ph.No.:08352-261120/265384,08352-262945",bldea_engg@usa.net,www.bldeaengg.org
B L D E As Dr Bachana Pitambhar P G Halakatti College Engg Technology, ,Karnataka,-,-,-
"B L D E As Shri B M Patil Institute Of Nursing Sciences,Bijapur",BIJAPUR ,Karnataka,-,-,-
"B L D E As Shri B M Patil Institute Of Nursing Sciences,Bijapur",BIJAPUR ,Karnataka,-,-,-
"B L D E As Shri B M Patil Institute Of Nursing Sciences,Bijapur",BIJAPUR ,Karnataka,-,-,-
"B L D E As Shri B M Patil Institute Of Nursing Sciences,Bijapur", ,Karnataka,-,-,-
B L D E Associaton Basaveshwar Arts Commerce College, ,Karnataka,-,-,-
B L Jindal Sui Wala College, ,Haryana,-,-,-
"B L M College Of Nursing,Jaipur", ,Rajasthan,-,-,-
"B L M Institute Of Medical And Paramedical Sciences , Sitapura",SITAPURA ,Rajasthan,-,-,-
"B L S School Of Nursing , Mandya",MANDYA ,Karnataka,-,-,-
B M A College, ,Bihar,-,-,-
"B M Birla College Of Nursing , Kolkata",KOLKATA ,West Bengal,-,-,-
"B M Birla Heart Research Centre , Calcutta",KOLKATA ,West Bengal,-,-,-
"B M Birla Heart Research Centre , College Of Nursig , Kolkata",KOLKATA ,West Bengal,-,-,-
"B M C B College Of Nursing,Kutch", ,Gujarat,-,-,-
"B M C B School Of Nursing , Kutch",BHUJ ,Gujarat,-,-,-
"B M C H R C College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
B M College, ,Bihar,-,-,-
B M D College, ,Bihar,-,-,-
B M S College Engineering,BANGALORE ,Karnataka,"080-26622130-135,080-26614357",mkv2759@yahoo.co.in,www.bmsce.ac.in
B M S College of Law, ,Karnataka,-,-,http://www.bmslawcollege.org/
"B M S Hospital Nursing College, Bangalore",BANGALORE ,Karnataka,-,-,-
"B M S Hospital Nursing College, Bangalore",BANGALORE ,Karnataka,-,-,-
"B M S Hospital Nursing School , Bangalore",BANGALORE ,Karnataka,-,-,-
"B M School Of Nursing , Vidisha",VIDISHA ,Madhya Pradesh,-,-,-
B M Shetty First Grade College, ,Karnataka,-,-,-
B N College Dhubri,DHUBURI ,Assam,-,-,-
B N College Education, ,Jammu and Kashmir,-,-,-
B N College Patna, ,Bihar,-,-,-
B N Jalan College, ,Jharkhand,-,-,-
B N M College, ,Bihar,-,-,-
B N M V College, ,Bihar,-,-,-
B N Mandal University Madhepura,MADHIPURA ,Bihar,"06476-22060,22779","vcbnmu_2007@rediffmail.com,bihmae@nic.in",http://bnmu.bih.nic.in/
"B N V School Of Nursing , Trivandrum",TRIVANDRUM ,Kerala,-,-,-
B P A C S COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
B P Baria Science Institute, ,Gujarat,-,-,-
B P Chaliha College,NAGARPERA ,Assam,03623-245001,-,-
B P College of Business Administration, ,Gujarat,07923245735,bba.bpcba@gmail.com,www.bpcba.org
B P ED COLLEGE SHIVAJI NAGAR B P ED COLLEGE, ,Maharashtra,-,-,-
"B P Poddar Institute Of Nursing , Kolkata",KOLKATA ,West Bengal,-,-,-
"B P R School Of Nursing , Vellore",VELLORE ,Tamil Nadu,-,-,-
B P S College, ,Bihar,-,-,-
B P S College Of Education, ,Haryana,-,-,-
B Parameshwarappa Arts And Commerce College, ,Karnataka,-,-,-
B R Ambedkar Bihar University,MUZAFFARPUR ,Bihar,0621-2248255,registrar@brabu.net,http://www.brabu.net
"B R College Of Nursing,Morena", ,Madhya Pradesh,-,-,-
B R Mahila College, ,Bihar,-,-,-
"B R School Of Nursing , Jammu",JAMMU ,Jammu and Kashmir,-,-,-
B R Tambakad Arts And Commerce First Grade College, ,Karnataka,-,-,-
B S A College of Engineering and Technology,MATHURA ,Uttar Pradesh,"0565-2460980,2460981",info@bsacet.org,www.bsacet.org
B S College Lohardaga, ,Jharkhand,-,-,-
B S College Patna, ,Bihar,-,-,-
B S College Physical Education, ,Karnataka,-,-,-
"B S Institute Of Nursing Training & Paramedical Sciences, Nawanshaher",NAWANSHAHR ,Punjab,-,-,-
B S K College, ,Jharkhand,-,-,-
B S S College, ,Bihar,-,-,-
"B S T College Of Nursing , Kapurthala",KAPURTHALA ,Punjab,-,-,-
"B T L School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
B T Patil & Sons Polytechnic, ,Karnataka,-,-,-
B V B College Engineering Technology, ,Karnataka,-,-,-
B V B College Engineering Technology, ,Karnataka,-,-,-
B V Bhoomaraddi College Arts Commerce Science College, ,Karnataka,-,-,-
B V K Degree College,VISAKHAPATNAM ,Andhra Pradesh,0891–2552975,-,-
"B V M B. Sc Nursing College , Gwalior",GWALIOR ,Madhya Pradesh,"+91--2436150,3291848/93",bvmctm@gmail.com,www.bvmctm.com
B V Parikh Janta College, ,Jharkhand,-,-,-
B V V S S Basaveshwar College Physical Education, ,Karnataka,-,-,-
"B V V S Sajjalashree Institute Of Nsg Sciences,College Of Nursing,Bagalkot",BAGALKOT ,Karnataka,-,-,-
"B V V S Sajjalashree Institute Of Nursing Sciences , Bagalkot",BAGALKOT ,Karnataka,-,-,-
B V V Sanghas Basaveshwar Science College, ,Karnataka,-,-,-
"B Y L Nair Charitable Hospital,Bombay",MUMBAI ,Maharashtra,-,-,-
B.B.S.P. Mandals Sant Tukaram Law College,LATUR ,Maharashtra,-,-,-
B. D. S. School of Law, ,Uttar Pradesh,"121-2602652,121-2603009",info@bdssl.net,http://www.bdssl.net/
B. E. S. College of Law, ,Karnataka,080-26630499,-,-
"B. J. Medical College, Pune", ,Maharashtra,"030-6128000,6126010,6123872",deanbjmcpune@gmail.com,www.bjmcpune.org
B. J. S. Rampuria Jain College, ,Rajasthan,"0151-2543054,0151-2200487,9414264932",-,-
B. M. Law College,MUZAFFARNAGAR ,Uttar Pradesh,"098960-70507,094162-05555,098130-96130",mail@bmcolleges.com,-
B. M. S. College of Law, ,Karnataka,080-26679336,-,http://www.bmslawcollege.org/
B. Padmanabhan Jayanthimala Arts And Science College,CUDDALORE ,Tamil Nadu,-,-,-
B. R. HARNE COLLEGE OF ENGINEERING & TECHNOLOGY, ,Maharashtra,0251?2910190/91,-,brharnetc.edu.in
B. R. M. Law College, ,Orissa,0674-2465700,-,http://www.brmgovtlawcollege.org.in/
B. S. Abdur Rahman University, ,Tamil Nadu,"044-22751347,22751348,22751350",cec@giasmd01.vsnl.net.in;cec@crescentcollege.org,www.bsauniv.ac.in
B. S. Anangpuria Institute of Law, ,Haryana,0129-2206750-753,bsail@bsact.org,www.bsail.org
B. S. M. Law College, ,Uttaranchal,01332-272446,-,http://www.bsmpgcollege.org/
B. S. N. Government P.G. College,SHAJAPUR ,Madhya Pradesh,07364-227727,-,-
B. S. Negi Mahila Pravidhik Prashikshan Sansthan, ,Uttaranchal,2795693,bsnegimpps11@gmail.com,bsnegimahilapolytechnic.co.in
B. S. Patel Polytechnic, ,Gujarat,02762286742,principal.bspp@ganpatuniversit,www.bspp.ac.in
B. S. R. Government Arts College,ALWAR ,Rajasthan,0144–2342899,-,-
B. V. V. Sanghas S. C. Nandimath Law College, ,Karnataka,08354-220664,-,http://www.bvvsscnlawbgk.org/
B.A & K.R. College,ONGOLE ,Andhra Pradesh,"08592–221665,221653,232827",-,-
B.A College of Engineering and Technology, ,Jharkhand,2423206,info@bacet.ac.in,http://www.bacet.ac.in/
B.A. & K.R. MCA COLLEGE,ONGOLE ,Andhra Pradesh,-,-,-
B.A. ALIAS BHAISAHEB SAWANT ADHYAPAK MAHAVIDYALAYA, ,Maharashtra,-,-,-
"B.A. College Of Agriculture , Anand",ANAND ,Gujarat,-,-,www.aau.in/?q=college-menu/178
B.B. Arts & N.B.&. B.P.Sciencecommerce College, ,Maharashtra,-,-,-
B.B. College, ,Orissa,-,-,-
B.B. Mahavidyalaya,JAYPORE ,Orissa,-,-,-
B.B.D. Government College, ,Rajasthan,-,-,-
B.B.K.D.A.V. College For Women, ,Punjab,-,-,-
B.B.M. Vaari Gayathri Degree College,KHAMMAM ,Andhra Pradesh,-,-,-
B.B.S INSTITUTE OF MANAGEMENT STUDIES, ,Uttar Pradesh,"0120-2323652,6416889",bbsims@bbscet.net,-
B.B.S. Institute of Management & Technology, ,Uttar Pradesh,"0532-2447812,9235443865",info@bbs.ac.in,www.bbs.ac.in
B.B.S. Public Degree College, ,Uttar Pradesh,-,-,-
B.B.S.P. Mandals Sant Tukaram Law College,LATUR ,Maharashtra,-,-,-
B.C. GAUTAM EDUCATION SOCIETY, ,Madhya Pradesh,-,-,-
B.C.M. College,KOTTAYAM ,Kerala,"0481-2562171,2560307",bcmktm@satyam.net.in,www.bcmcollege.org
B.C.M. College of Education, ,Punjab,-,-,-
B.C.M. TEACHER TRAINING COLLEGE, ,Punjab,-,mizobaptist@yahoo.com,-
B.C.N. ROTARY VIDYA SAMSTHE, ,Karnataka,-,-,-
B.C.S. Govt. P.G. College, ,Chhattisgarh,07722-237933,-,-
B.C.T. Kumaon Engineering College, ,Uttaranchal,-,-,-
"B.C.Y.R.C Institute of Diploma in Pharmacy , Nandanvan",NAGPUR ,Maharashtra,"0712-5601947,2710030",info@bcyrpharnacy.com,www.bcyrcpharmacy.org
B.D. MEMORIAL KALYAN SANSTHAN, ,Rajasthan,-,-,-
B.D. SHAH COLLEGE OF EDUCATION, ,Gujarat,-,college@bdshaheducation.info,-
B.D.M. Municipal Girls Degree College, ,Uttar Pradesh,-,-,-
B.D.M. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
B.D.S INSTITUTE OF MANAGEMENT, ,Uttar Pradesh,"0121-2601937,26033009",info@pdsim.com,-
B.D.S. GURUKUL OF EDUCATION, ,Uttar Pradesh,-,-,-
B.D.S. Law School, ,Uttar Pradesh,-,info@bdssl.net,http://www.bdssl.net/contact_us.html
B.E.A. COLLEGE OF EDUCATION, ,Karnataka,-,beasec@sancharnet.in,-
"B.E.A. School of Pharmacy , DAVANGERE",DAVANAGERE ,Karnataka,"+91-8192251302,250659,253550,230236",beasec@sancharnet.in,www.beadvg.org
B.E.S. COLLEGE OF EDUCATION, ,Karnataka,-,-,-
"B.E.S. Institute of Pharmacy , Bangalore",BANGALORE ,Karnataka,-,-,-
B.Ed. College, ,Maharashtra,-,-,-
B.ED. COLLEGE VADUJUTH KELAVANI MANDAL, ,Gujarat,-,bedcollege_vadu@yahoo.com,-
B.Ed. Teacher Training College, ,Bihar,-,-,-
B.G. PATEL COLLEGE OF EDUCATION (B.ED.), ,Maharashtra,-,-,-
B.G.S D.ED COLLEGE, ,Karnataka,-,-,-
B.G.S. B.ED COLLEGE, ,Karnataka,-,-,-
B.G.S.COLLEGE OF EDUCATION, ,Karnataka,-,-,-
B.H. College,BARPETA ,Assam,03666-260371,bhcollege1966@gmail.com,www.bhcollege.in
B.H.S.R & V.L.M. Degree College,WEST GODAVARI ,Andhra Pradesh,"08813–273430,273900",-,-
B.I. TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
B.I.T Institute of Technology, ,Andhra Pradesh,08556-249677,principal.bitit@gmail.com,www.bitit.org
"B.J Medical College, Ahmedabad", ,Gujarat,"079-26580074,26581024",bjmclis@dataone.in,www.bjmc.org
B.J. Medical College, ,Maharashtra,+912026128000,bgmcmuh@vsnl.net,www.bjmcpune.org
B.J.B. Morning College,BHUBANESWAR ,Orissa,-,-,-
B.J.S. Rampuria Jain College, ,Rajasthan,-,-,-
B.K. COLLEGE OF SYSTEMS & MANAGEMENT, ,Uttar Pradesh,-,-,-
B.K. Modi Govt. Pharmacy College,RAJKOT ,Gujarat,02717-241900-904,director.ip@nir,www.bhmgpc.com
B.K. SCHOOL OF BUSINESS MANAGEMENT,AHMEDABAD ,Gujarat,917926304811,placement@bkschool.org,www.bkshcool.org
B.K. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
B.K.Birla Institute of Engineering & Technology, ,Rajasthan,"01596-246038,244262",bkbiet@gmail.com,http://www.bkbiet.ac.in
B.K.INSTITUTE OF EDUCATION & TECHNOLOGY, ,Delhi,-,-,-
B.K.M.TEACHER TRAINING COLLEGE, ,Punjab,-,-,-
"B.K.Mody Govt. Pharmacy , Rajkot",RAJKOT ,Gujarat,+9102812387156,principal@bkmgpc.com,www.bkmgpc.com
B.K.R COLLEGE OF EDUN, ,Tamil Nadu,-,-,-
B.K.R. Memorial College,CUDDAPAH ,Andhra Pradesh,"08568–233390,92477-92266",-,-
B.K.R. TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
B.K.S.N. Government College, ,Madhya Pradesh,-,-,-
B.K.School of Business Management, ,Gujarat,"+917926304811,+917932407363",info@bkschool.org.in,http://www.bkschool.org.in/
B.L. ACADEMY OF HIGHER EDUCATION, ,Uttar Pradesh,-,-,-
B.L. Patil Polytechnic, ,Maharashtra,266157,ktspkpk@rediffmail.com,www.blppolykhopoli.com
B.L. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
B.L.. COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
"B.L.D.E. Association School of Pharmacy , BIJAPUR",BIJAPUR ,Karnataka,-,contact@bldea.org,www.bldea.org
B.L.D.E. University, ,Karnataka,"+918352262770,+918352262507,",office@bldeuniversity.org,www.bldeuniversity.org
B.L.D.E.A COLLEGE EDUCATION, ,Karnataka,-,"enquiry@bldea.org,",-
B.L.D.E.A's V.P. Dr. P.G. Halakatti College of Engineering and Technology, ,Karnataka,"(08352)261120,265384",principal@bldeacet.ac.in,http://bldeacet.ac.in/
"B.L.D.E.As College of Pharmacy , Bijapur",BIJAPUR ,Karnataka,+918352264004,-,www.bldeapharmacy.org
B.L.D.E.Associations Law College, ,Karnataka,08353-321240,bldealawcollege@yahoo.in,www.bladeajkd.com
B.L.M. Girls College, ,Punjab,-,-,-
"B.L.S. INSTITUTE OF MANAGEMENT, GHAZIABAD",GHAZIABAD ,Uttar Pradesh,"0120-2658405,2657654,2657632","bls_im@vsnl.net,bls.admission@vsnl.net",www.blsim.org
B.L.S. INSTOTUTE OF TECHNOLOGY MANAGEMANT, ,Haryana,-,-,-
B.M. COLLEGE, ,Madhya Pradesh,-,-,-
B.M. College Of Commerce, ,Maharashtra,-,-,-
