C - INPACT INSTITUTE, ,Uttar Pradesh,-,-,-
C . G Institute of Management Studies, ,Tamil Nadu,"04257?243316,243709",-,www.cims.org
C B Patel Arts College, ,Gujarat,-,-,-
C C M Ramakrishna Polytechnic College, ,Tamil Nadu,"04362252088,04362250607,9443866379",ccmrprincipal@rediffmail.com,ccmrp.com
C E D College Education, ,Jammu and Kashmir,-,-,-
"C E T College Of Nursing , Kanyakumari",KANYAKUMARI ,Tamil Nadu,-,-,-
"C G College Of Nursing,Raipur",RAIPUR ,Chhattisgarh,-,-,-
"C G Institute Of Nursing,Bilaspur",BILASPUR ,Chhattisgarh,-,-,-
"C G School Of Nursing , Raipur",RAIPUR ,Chhattisgarh,-,-,-
"C G School Of Nursing,Bilaspur",BILASPUR ,Chhattisgarh,-,-,-
"C H Memorial College Of Nursing , Malappuram",MALAPPURAM ,Kerala,-,-,-
"C H School Of Nursing,Malappuram",MALAPPURAM ,Kerala,-,-,-
"C K School Of Nursing, , S S C Medical & Educational Trust, Erode",ERODE ,Tamil Nadu,-,-,-
C Kamala Devi Mphw F Trg Institute,HYDERABAD ,Andhra Pradesh,-,-,-
C M Bhola College, ,Bihar,-,-,-
"C M C School Of Nursing,Kochi",KOCHI ,Kerala,-,-,-
C M College, ,Bihar,-,-,-
C M College Science, ,Bihar,-,-,-
C M Dubey Postgraduate College, ,Chhattisgarh,-,-,-
C M J College, ,Bihar,-,-,-
C M K National Girls College, ,Haryana,"01666-240289,240091",info@cmksirsa.com,www.cmksirsa.com
"C M Nursing Institute , Chandulal Chandrakar Mem Hospital, Durg",DURG ,Chhattisgarh,-,-,-
"C M Nursing Institute , Durg",DURG ,Chhattisgarh,-,-,-
"C M Nursing Institute, , Chandulal Chandrakar Memorial Hospital, ,Durg",DURG ,Chhattisgarh,-,-,-
"C M R College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"C M R School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"C M S N Nursing & Paramedical College , Gorakhpur",GORAKHPUR ,Uttar Pradesh,-,-,-
"C M S N Nursing And Paramedical College,",GORAKHPUR ,Uttar Pradesh,-,-,-
C N Arts And B D Commerce College, ,Gujarat,-,-,-
C N B College, ,Bihar,-,-,-
C N College, ,Bihar,-,-,-
"C N K College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"C N Mugalkhod Institute Of Nursing , Belgaum",BELGAUM ,Karnataka,-,-,-
C Nehru Maha Vidyalaya Art And Science College Coimbatore,COIMBATORE ,Tamil Nadu,-,-,-
"C P C (Govt.) Polytechnic, Mysore", ,Karnataka,0821-2441444,-,-
C P C L Polytechnic College, ,Tamil Nadu,"044-29030158,044-29030159,9840287816",princi.cpclpoly@gmail.com,-
"C P M S School Of Nursing , Gwahati",GUWAHATI ,Assam,-,-,-
C P Patel F H Shah Commerce College, ,Gujarat,-,-,-
C R Arya College, ,Haryana,-,-,-
C R Kisan College, ,Haryana,-,-,-
C S H Desai Arts College And L K L Doshi Commerce College Gujarat, ,Gujarat,-,-,-
"C S I College Of Nursing , Thiruvananthapuram",TRIVANDRUM ,Kerala,-,-,-
"C S I Eliza Caldwell College Of Nursing , Tirunelveli",TIRUNELVELI ,Tamil Nadu,-,-,-
C S I Ewart Womens Christian College,KANCHIPURAM ,Tamil Nadu,04114-63840,-,-
"C S I Holdsworth Memorial Hospital, School Of Nursing , Mysore",MYSORE ,Karnataka,-,-,-
"C S I Hospital , Kannakumari Medical Mission , Neyyoor", ,Tamil Nadu,-,-,-
"C S I Hospital, School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"C S I Hospital, School Of Nursing , Ikkadu", ,Tamil Nadu,-,-,-
"C S I Jeyaraj Annapackiam College Of Nursing & Allied Sciences , Madurai",MADURAI ,Tamil Nadu,-,-,-
"C S I Kalyani General Hospital , Chennai",CHENNAI ,Tamil Nadu,-,-,-
"C S I Mission Hospital , Trichy",TRICHY ,Tamil Nadu,-,-,-
"C S I Mission Hospital,Pariyal", ,Tamil Nadu,-,-,-
C S I Polytechnic College, ,Tamil Nadu,"0427-2403529,0427-2403205,9003734532",csiptc@yahoo.co.in,www.csiptc-salem.com
"C S I Rainy Hospital, School Of Nursing, Madras",CHENNAI ,Tamil Nadu,-,-,-
"C S I Red Fern Memorial Hospital , Hassan",HASSAN ,Karnataka,-,-,-
"C S I School Of Nursing , Kadapa",KARAPA ,Andhra Pradesh,-,-,-
"C S I School Of Nursing, , Christian Mission Hospital, Madurai",MADURAI ,Tamil Nadu,-,-,-
"C S I School Of Nursing,Kollam",KOLLAM ,Kerala,-,-,-
"C S I School Of Nursing,Thiruvananthapuram",TRIVANDRUM ,Kerala,-,-,-
"C S I School Of Nursing,Vandavasi", ,Tamil Nadu,-,-,-
"C S I St Lukes College Of Nursing , Thoothukudi", ,Tamil Nadu,-,-,-
C S R Sarma College,ONGOLE ,Andhra Pradesh,"08592–233584,280154,231378",-,-
C U Shah Arts College, ,Gujarat,-,-,-
C U Shah City Commerce College, ,Gujarat,-,-,-
C U Shah Commerce College, ,Gujarat,-,-,-
C U Shah Science College, ,Gujarat,-,-,-
"C Y D Patil Institute Of Nursing,Pune",PUNE ,Maharashtra,-,-,-
C- IMPACT INSTITUTE, ,Uttar Pradesh,-,-,-
"C-DAC, Noida", ,Uttar Pradesh,+91-120-3063311-13,-,www.cdacnoida.in
C-IMPACT INSTITUTE, ,Uttar Pradesh,-,-,www.cimpactinstitute.org
C. Abdul Hakeem College(Men),VELLORE ,Tamil Nadu,-,info@hakeemcollege.org,-
C. Bheema Sena Rao National College of Law,SHIMOGA ,Karnataka,08182-27228,cbt_ncl@rediffmail.com,-
C. K. Pithawala College Of Engineering & Technology,SURAT ,Gujarat,"0261-6587285,2685381,25542506",ckpim@rediffmail.com,www.ckpcet.ac.in
C. Kandasami Naidu College For Men,CHENNAI ,Tamil Nadu,(44)26262970,admin@cknc.edu.in,http://cknc.edu.in/
C. Kandaswami Naidu College For Women,CUDDALORE ,Tamil Nadu,-,-,-
C. M. H. College of Legal Studies,JAMMU ,Jammu and Kashmir,0191-2106716,-,-
C. M. R. Law School, ,Karnataka,80-25453088,info@cmredu.com,www.cmredu.com
C. U. Shah government polytechnic, ,Gujarat,(02752)243494,-,-
C. V. Raman College of Engineering,BHUBANESWAR ,Orissa,0674-2460743/2460693,info@cvraman.org,www.cvraman.org
"C.A.M. Polytechnic College, Merta City", ,Rajasthan,96604-27089,cam.polytechnic@gmail.com,-
C.A.R.E. Group Of Institutes, ,Tamil Nadu,04312690505,contact@care.ae.in,www.care.ac.in
C.A.T. College,NAMPALLY ,Andhra Pradesh,23203943,-,-
C.Abdul Hakeem College of Engineering and Technology, ,Tamil Nadu,04172-267387,cahcet@rediffmail.com,www.cahcet.in
C.Achuta Menon Government College, ,Kerala,-,-,-
C.B. Gupta Agriculture Degree College, ,Uttar Pradesh,-,-,-
C.B. Memorial Degree College,MAHABUBNAGAR ,Andhra Pradesh,08549–273877,cbmcdkky@yahoo.com,-
C.B.A.E. BAIREVESHWARA COLLEGE OF PHYSICAL EDUCATION, ,Karnataka,-,-,-
C.B.M. College,COIMBATORE ,Tamil Nadu,"0422-2607259,2607597,2607453","enquiry@cbmcolege.com,mba@cbmcollege.com",http://www.cbmcollege.com
C.C.R.D. College, ,Uttar Pradesh,-,-,-
C.C.S. UNIVERSITY, ,Uttar Pradesh,-,-,-
C.D. Jain College Of Commerce, ,Maharashtra,-,-,-
C.D. Pachchigar Homoeopathic Medical College,SURAT ,Gujarat,-,-,-
C.E S. College Of Arts & Commerce, ,Goa,2865210,cescac21@yahoo.com,-
C.E.D. College of Education, ,Jammu and Kashmir,-,-,-
C.F. TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
C.H. MOHAMMED KOYA MEMORIAL PPTTI, ,Kerala,-,-,-
C.H.M.M. COLLEGE FOR ADVANCED STUDIES,TRIVANDRUM ,Kerala,"0470-2667617,0470-2668229",deptmca_chmm@yahoo.co.in,www.chmm.edu.in
C.H.MEMORIAL TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
C.I. College, ,Manipur,-,-,-
C.I.C.S COLLEGE OF TEACHER EDUCATION, ,Kerala,-,-,-
C.I.T. Sandwich Polytechnic College,COIMBATORE ,Tamil Nadu,0422-2573034,citspc1961@rediffmail.com,-
C.J. Patel Arts & Commerce College, ,Maharashtra,-,-,-
C.K.G. Memorial Government College,KOZHIKODE ,Kerala,0496-2610243,ckgmgovcollege@yahoo-com.,-
C.K.G.M. Government College, ,Kerala,-,-,-
C.K.M. Arts & Science College,WARANGAL ,Andhra Pradesh,0870–2565968,ckmcollege@yahoo.com,-
C.K.M. Law College,ARRAH ,Bihar,-,-,-
C.K.Pithawalla Institute of Management, ,Gujarat,(0261)6587285,ckpim@rediffmail.com,www.ckpim.ac.in
C.K.RAGHAVAN MEMORIAL TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
C.K.S. COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"C.K.S. Teja Institute of Dental Sciences & Research , Tirupati",TIRUPATI ,Andhra Pradesh,0877-2285430,cksdentaltpt@yahoo.co.in,www.manabadi.co.in
C.K.Shah Vijapurwala Institute of Management, ,Gujarat,+91-265-2418328/29/30,mba@cksvim.edu.in,http://www.cksvim.edu.in/
C.L. Baid Mehta College of Pharmacy, ,Tamil Nadu,044?24960151/24960425,principal@clbaidmethacollege.com,www.clbaidmethacollege.com
"C.L. Baid Metha College of Pharmacy , Thorapakkam",CHENNAI ,Tamil Nadu,044–24960151/24960425,principal@clbaidmethacollege.com,www.clbaidmethacollege.com
C.L. Jain College, ,Uttar Pradesh,-,-,-
"C.L.Baid Metha College of Pharmacy , Thorappakkam",CHENNAI ,Tamil Nadu,044–24960151/24960425,principal@clbaidmethacollege.com,www.clbaidmethacollege.com
C.L.DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
C.L.E. SOCIETYS B.ED COLLEGE, ,Karnataka,-,-,-
C.L.TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
C.M. INSTITUTE OF MGT,MANDAL ,Andhra Pradesh,-,-,-
C.M.A. B.ED COLLEGE, ,Karnataka,-,-,-
C.M.Annalmalai Polytechnic College, ,Tamil Nadu,"04172-260777,04172-260661,9751808693",	cmannamalai@yahoo.co.in,	www.cmannamalai.org
C.M.B.C. Degree College For Women,ONGOLE ,Andhra Pradesh,"08592–230773,233573,236421",-,-
C.M.H College of Legal Studies, ,Jammu and Kashmir,-,-,-
"C.M.I. Degree College,  Anantapur",ANANTAPUR ,Andhra Pradesh,"08554–241801,226901",-,-
"C.M.I. Degree College, Kalyandurg",KALYANDURG ,Andhra Pradesh,-,-,-
C.M.R INSTITUTE OF EDUCATION, ,Karnataka,-,info@cmr.ac.in,-
C.M.R. INSTT OF MGT. STUDIES,BANGALORE ,Karnataka,080-25426977080-25440956,info@cmredu.com,-
C.M.R. Law College, ,Karnataka,-,info@cmredu.com,www.cmrls.cmredu.com/
C.M.S COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
C.M.S EDUCATIONAL TRUST, ,Tamil Nadu,-,-,-
C.M.S. College,KOTTAYAM ,Kerala,"04812566002,2566433","mail@cmscoll.com,principal@cmscollege.ac.in",-
C.M.S. College Of Science & Commerce,COIMBATORE ,Tamil Nadu,"0422-2666465,2667158.",info@cmscbe.com,www.cmscbe.com
C.Madhya Pradesh. Degree College, ,Uttar Pradesh,-,-,-
C.N.I TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
C.N.K. REDDY COLLEGE OF BUSINESS MGT,BANGALORE ,Karnataka,080-25251847/25290719080-25295342,cnkreddycollege@yahoo.com,-
C.N.N TEACHER TRAINING INSTITUTIONS, ,Kerala,-,-,-
C.N.R. Arts & Science College,PILER ,Andhra Pradesh,08584–242019,chintala_vijay@rediffmail.com,www.cnrinstitutes.com
C.P. & Berar Education Societys Arts & Commerce College, ,Maharashtra,-,-,-
C.P. COLLEGE OF BACHELOR OF EDUCATION, ,Maharashtra,-,-,-
C.P. Mahila Mahavidyalaya, ,Madhya Pradesh,-,-,-
C.P.A. College,THENI ,Tamil Nadu,-,rajarajan1962@rediff.com,-
C P C L Polytechnic College,SALEM ,Tamil Nadu,"044-29030158,044-29030159,9840287816",princi.cpclpoly@gmail.com,-
C.P.M. Degree College,ALLAHABAD ,Uttar Pradesh,-,-,-
C.P.S. COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
C.PUTTAIAH MEMORIAL TEACHERS TRAINING INSTITUTE, ,Karnataka,-,-,-
C.R. COLLEGE CCC,GUNTUR ,Andhra Pradesh,-,-,-
C.R. Engineering College, ,Tamil Nadu,0452-2470327,-,www.crcolleges.org
C.R. INSTITUTE  OF MANAGEMENT STUDIES,BHOPAL ,Madhya Pradesh,0755-2677738,crimbvv@mantrafreenet.com.,-
C.R. Law College, ,Haryana,091-1662-254270,info@crlawcollege.com,www.crlawcollege.com/
C.R. MEMORIAL TEACHERS TRAINING COLLEGE, ,Rajasthan,-,-,-
C.R. Reddy Degree College,RAYACHOTI ,Andhra Pradesh,08567–260065,-,-
C.R. Reddy Law College,ELURU ,Andhra Pradesh,-,avrphysicseluru@yahoo.com,-
C.R.C.TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
C.R.D.A.V.GIRLS TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
C.R.INSTITUTE OF EDUCATION, ,Haryana,-,-,-
"C.R.Polytechnic,chilakaluripet", ,Andhra Pradesh,"08647-256243,253412",info@crpolytechnic.in,http://www.crpolytechnic.in
C.R.R. Law College, ,Andhra Pradesh,"085812-230268,08812-230884",-,-
C.R.TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
C.R.V. Polytechnic College, ,Tamil Nadu,"04332201126,04332201126,9994473128",het_tvk@yahoo.in,-
C.S. COLLEGE OF EDUCATION, ,Tamil Nadu,04179-247317,-,-
C.S. JAIN COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"C.S. Jain College of Pharmacy , Chidambaram",CHIDAMBARAM ,Tamil Nadu,"04144-245241,245341",-,www.csjaintti.com
C.S. Mahavidyalaya, ,Uttar Pradesh,-,-,-
C.S. MAHAVIDYLAYA, ,Uttar Pradesh,-,-,-
C.S. TUBACHI EDUCATION SOCIETY, ,Karnataka,-,-,-
C.S.I Balar Gnana,SALEM ,Tamil Nadu,+91-427-2317446,contact@csibgisalem.org,www.csibgisalem.org
C.S.I COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
C.S.I COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
C.S.I COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
C.S.I COLLEGE OF EDUCATION, ,Kerala,-,-,-
C.S.I. Bishop Appasamy College Of Arts And Science, ,Tamil Nadu,"91-422-2211840,+91-422-2218401",csibacas@gmail.com,www.csibacas.org
C.S.I. Darling Selvabai Thavaraj David College Of Arts & Science For Women,MADURAI ,Tamil Nadu,-,-,-
"C.s.i. Hospital , Chickballapur", ,Karnataka,-,-,-
C.S.I. Jeyaraj Annapackiam College, ,Tamil Nadu,-,-,www.csinursingcollege.com
C S I Polytechnic College,CHENNAI ,Tamil Nadu,"0427-2403529,0427-2403205,9003734532",csiptc@yahoo.co.in,www.csiptc-salem.com
