"D .Bhanumaiah Polytechnic, Mysore", ,Karnataka,"0821-245317,2452790,9844028622",-,-
D A C G (Govt.) Polytechnic, ,Karnataka,08262-222411,dacgckm@rediffmail.com,-
D A V Centanary College, ,Himachal Pradesh,-,-,-
D A V Centenary College, ,Haryana,-,-,-
D A V College, ,Himachal Pradesh,-,-,-
D A V College Bihar, ,Bihar,-,-,-
D A V College Cheeka, ,Haryana,-,-,-
D A V College For Girls, ,Haryana,-,-,-
D A V College For Women, ,Haryana,-,-,-
D A V College Haryana, ,Haryana,-,-,-
D A V College Himachal Pradesh, ,Himachal Pradesh,-,-,-
D A V College Naneola, ,Haryana,-,-,-
D A V College Of Education For Women Punjab, ,Haryana,-,-,-
D A V College Pehowa, ,Haryana,-,-,-
D A V College Pundari, ,Haryana,-,-,-
D A V College Sadhaura, ,Haryana,-,-,-
D B College, ,Bihar,-,-,-
D B K N College, ,Bihar,-,-,-
D Banumaiahs College Commerce Arts, ,Karnataka,-,-,-
D D Chokshi College Secondary Education, ,Gujarat,-,-,-
"D D R School Of Nursing , Visakhapatnam",VISAKHAPATNAM ,Andhra Pradesh,"0891-2535337,9700030055,9493533624",-,www.ddrinstitution.in
D D Thaker Arts K J Patel Commerce College, ,Gujarat,-,-,-
"D E S College Of Nursing , Pune",PUNE ,Maharashtra,-,-,-
"D G M P School Of Nursing , Kolar",KOLAR ,Karnataka,-,-,-
"D G R School Of Nursing , Nellore",NELLORE ,Andhra Pradesh,-,-,-
D G Shikshan Mahavidyalaya, ,Gujarat,-,-,-
"D H College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,http://www.dhcollegeofnursingjaipur.com/
D H S K College, ,Assam,-,-,-
"D H School Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
"D I Patel School Of Nursing , Patan",PATAN ,Gujarat,-,-,-
D J College of Engineering and Technology.,GHAZIABAD ,Uttar Pradesh,"01232-325052,250882-84",djengcollege@yahoo.com,www.djuniverse.org.in
"D J College Of Paramedical Sciences, , Ghaziabad",GHAZIABAD ,Uttar Pradesh,-,-,-
D K College, ,Bihar,-,-,-
D K Govt College For Women, ,Andhra Pradesh,"08612327568,2337889",-,-
D K M College For Women,VELLORE ,Tamil Nadu,91-416-2263600,info@dkmcollege.org,www.dkmcollege.org
D K V Arts And Science College, ,Gujarat,-,-,-
D L R Degree College,MADANPALLE ,Andhra Pradesh,"0884–2319568,2319268",-,-
D M Patel Arts S S Patel commerce College, ,Gujarat,-,-,-
"D N V School Of Nursing , Dharmapuri",DHARMAPURI ,Tamil Nadu,-,-,-
D P C Polytechnic College, ,Tamil Nadu,"04272384444,04272919172,9790066722",dpcpolytechnic@yahoo.co.in,dpcpolytechnic.com
D P Mishra Institute for Advance Studies in Special Education and Technology, ,Orissa,06810-268473/2368285,saima.balvikas@yahoo.co.in,www.saima-balvikas.org
"D P Os Nett School Of Nursing,Thane",THANE ,Maharashtra,-,-,-
"D P Tiwari Med & Nur Edu Instt College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
"D P Tiwari School Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
D P Vipra College, ,Chhattisgarh,-,-,-
D P Vipra Law College, ,Chhattisgarh,-,-,-
D R G Govt Degree College,TADEPALLIGUDEM ,Andhra Pradesh,08818–223162,drgdctpg@yahoo.com,-
"D R H School Of Nursing , Gulbarga",GULBARGA ,Karnataka,-,-,-
D R M Science College, ,Karnataka,-,-,-
D R N S C V S College,GUNTUR ,Andhra Pradesh,"08647–253500,254274",info@drnscvs.com,www.nrnscvs.com
"D R R (Govt.) Polytechnic, Davanagere", ,Karnataka,08192-254074,-,-
D S College, ,Bihar,-,-,-
"D S School Of Nursing , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
D V S College Arts Science, ,Karnataka,-,-,-
"D V S College Of Nursing & Research,Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
D V S Evening College, ,Karnataka,-,-,-
"D V S Mahila Swasthya Karyakarta Prashikshan Kendra , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
D V S Polytechnic, ,Karnataka,08182-224729,-,-
"D Y Patil College Of Nursing , Kolhapur",KOLHAPUR ,Maharashtra,-,-,-
"D Y Patil Institute Of Nursing Education,Kolhapur",KOLHAPUR ,Maharashtra,-,-,-
D. A. Diploma Engineering & Technology, ,Gujarat,02694244781,dhariniedu@yahoo.com,www.dadet.in
D. A. V. College, ,Haryana,"0131-2406667,0131-2405874",info@davcollegemzn.org,https://davchd.ac.in/default.aspx
D. A. V. P.G.College, ,Uttaranchal,0522-3253109,-,http://davpgcollege.in/
D. A. V. P.G.College, ,Uttar Pradesh,0522-3253109,-,http://davpgcollege.in/
D. G. B. Dayanand Law College, ,Maharashtra,0217-2323195,-,www.davsolapur.org
"D. J. Polytechnic, Baraut", ,Uttar Pradesh,01234-262769,-,-
"D. N. Raju College of Law , Bhimavaram", ,Andhra Pradesh,"08816-222881,08816-223583,9849819890",dnrlaw@gmail.com,http://www.dnrcollege.org/#
"D. N. Raju College of Law,", ,Andhra Pradesh,"08816-222881,08816-223583,9849819890",dnrlaw@gmail.com,http://www.dnrcollege.org/#
D. S. College of law, ,Uttar Pradesh,"0571-3255273,0571-2902233",rajeshwarnathsingh@rediffmail.com,http://www.dspgcollege.org/
D. S. R. Hindu Law College, ,Andhra Pradesh,08672-221642,-,-
D. Y. Patil College of Engineering and Technology, ,Maharashtra,"(0231)2601431,2601433.",dypcet@sancharnet.in,http://www.dypkopeng.ac.in/
D..K.SHIVAKUMAR B.ED COLLEGE, ,Karnataka,-,-,-
D.A. Pandu Memorial R.V. Dental College,BANGALORE ,Karnataka,-,-,www.rvdentalcollege.org
"D.A. Pandu Memorial R.V. Dental College, Bangalore",BANGALORE ,Karnataka,"080-22445754,9845004731",rvdc@vsnl.com,www.rvdentalcollege.org
D.A.AN COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
D.A.N. TEACHER TRAINING COLLEGE FOR WOMEN, ,Punjab,-,-,-
D.A.V TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
"D.A.V. Centenary Dental College, Yamuna Nagar",YAMUNANAGAR ,Haryana,91-1732-220804/221555,davdental@rediffmail.com,www.davdentalynr.com
D.A.V. College, ,Uttaranchal,-,-,-
D.A.V. College, ,Uttar Pradesh,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Punjab,-,-,-
D.A.V. College, ,Uttaranchal,0135-744019,info@davcmc.net.in,-
D.A.V. College, ,Uttar Pradesh,-,-,-
D.A.V. College, ,Uttar Pradesh,-,-,-
D.A.V. College, ,Uttar Pradesh,-,-,-
D.A.V. COLLEGE, ,Punjab,-,info@davcmc.net.in,-
D.A.V. College, ,Haryana,-,-,-
D.A.V. College, ,Haryana,-,-,-
D.A.V. College, ,Haryana,-,-,-
D.A.V. College, ,Haryana,-,-,-
D.A.V. College, ,Haryana,-,-,-
D.A.V. College, ,Himachal Pradesh,-,-,-
D.A.V. College, ,Himachal Pradesh,-,-,-
D.A.V. College, ,Himachal Pradesh,-,-,-
D.A.V. College, ,Orissa,-,-,-
D.A.V. College, ,Orissa,-,-,-
