E - MAX TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
EFL University,HYDERABAD ,Andhra Pradesh,-,-,efluniversity.ac.in
"E K Nayanar Memorial Cooperative Hosp, School Of Nurisng,Kasaragod",KASARAGOD ,Kerala,-,-,-
"E M S Memorial Cooperative Hospital & Research Centre , Malappuram",MALAPPURAM ,Kerala,+914933-225751to225757,info@emshospital.org.in,www.emshospital.org.in
"E M S Memorial Cooperative Hospital, School Of Nursing,Malappuram",MALAPPURAM ,Kerala,-,-,-
"E S College Of Nursing , Villupuram",VILLUPURAM ,Tamil Nadu,-,-,-
"E S I S General Hospital , Bapunagar",AHMEDABAD ,Gujarat,-,-,-
"E S I S General Hospital , Campus, School Of Nursing,Ahmedabad",AHMEDABAD ,Gujarat,-,-,-
"E S School Of Nursing, Villupuram",VILLUPURAM ,Tamil Nadu,-,-,-
"E T C M College of Nurisng, Kolar",KOLAR ,Karnataka,08152-222069,etcm_nsg@rediffmail.com,-
E-MAX BUSINESS SCHOOL,AMBALA ,Haryana,0172-6450773/5012596,info@emaxinstitutes.com,-
"E-Max, Polytechnic College", ,Haryana,09216818710,-,http://emax.edu.in/
"E.C.B. Polytechnic, Bikaner", ,Rajasthan,0151-2253404,omjakhar@yahoo.co.in,-
E.K.Nayanar Memorial GovernmentCollege,KASARAGOD ,Kerala,"0467-2241345,0495-2372872",principal@mptck.org,-
E.M.E.A. College of Arts & Science, ,Kerala,-,-,-
E.M.G. Yadava Womens College,MADURAI ,Tamil Nadu,-,info@emgywomenscollege.in,-
E.R.K. COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
E.S COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"E.S.C. Govt. Polytechnic,Nandyal", ,Andhra Pradesh,9912342021,-,http://nandyalesclgovtpoly.nic.in/
"E.S.S. College, Nellore",VENKATAGIRI ,Andhra Pradesh,"08625–257706,257857",-,-
E.S.SUBRAMANIAM MEMORIAL TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
E.S.TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
E.V. Reddy Memorial College,KODAD ,Andhra Pradesh,08683–250989,vpragnya@yahoo.com,-
EACSAM - European Academy of Cosmetic Surgery & Aesthetic Medicine, ,Maharashtra,09823184499,eacsam@gmail.com,http://www.eacsam.com/
eAgeTutor, ,Delhi,011-30102611,eagetutor2012@gmail.com,http://www.eagetutor.com/
EARATHU TEACHER TRAINING INSTITUTE, ,Kerala,-,-,-
EASA College Engineering Technology,COIMBATORE ,Tamil Nadu,-,info@easatech.org,-
"Eashwari Bai Memorial College Of Nursing , Secunderabad",SECUNDERABAD ,Andhra Pradesh,"040-27701569,040-278012",-,-
East Kolkata Girls College, ,West Bengal,-,-,-
East Point College Of Engineering and Technology,BANGALORE ,Karnataka,080-28473777,chaitanya126@yahoo.com,www.epcet.net
East Point College of Engineering for Women,VIRGONAGAR ,Karnataka,"+918028472999,25073904","info@eastpoint.ac.in,admissions@eastpoint.ac.in",http://eastpoint.ac.in
EAST POINT COLLEGE OF HIGHER EDUCATION,VIRGONAGAR ,Karnataka,080-28473777080-28472999,basava_chari@yahoo.co.in,-
"East Point College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
