F D Arts And Commerce College For Women, ,Gujarat,-,-,-
"F H W Training Centre , Kenderapara",KENDRAPARA ,Orissa,-,-,-
"F I College Of Nursing,Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
F X Polytechnic College, ,Tamil Nadu,"0462-2940908,0462-2940909,9942978506",	fxpoly@rediffmail.com,www.fxpolytechnic.org
F. Education Societys Girls College, ,Maharashtra,-,-,-
F.A. Ahmed College,KAMRUP ,Assam,-,-,-
F.A.A.Government Degree (Pg) College, ,Uttar Pradesh,-,-,-
F.M. College, ,Orissa,-,-,-
F.S. College Of Education, ,Uttar Pradesh,-,-,-
F.S.COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
FACULTY & DEPARTMENT OF EDUCATION, ,Uttar Pradesh,-,-,-
Faculty Of Agriculrtal Engineering, ,West Bengal,-,-,http://www.bckv.edu.in/
Faculty of Allied Health Science,SALEM ,Tamil Nadu,-,-,-
"Faculty of Dental Sciences, IMS BHU",VARANASI ,Uttar Pradesh,"0542-2307500,2367568",-,www.imsbhu.nic.in/denistry/flist.htm
"Faculty of Dental Sciences, Institute of Medical Sciences, Varanasi",VARANASI ,Uttar Pradesh,"+91-0542-2309296,2368547,9451570848","tpchaturvedi@rediffmail.com,docfarhan@rediffmail.com",www.bhu.ac.in
"Faculty of Dental Sciences, Lucknow",LUCKNOW ,Uttar Pradesh,"91-522-2257540,91-522-2257450,2257451,2257452,",contactkgmu@gmail.com,www.kgmcindia.edu
"Faculty of Dentistry, Jamia Millia Islamia, Delhi",DELHI ,Delhi,+91(11)26981717,-,www.jmi.ac.in/fdn/fdn.htm
FACULTY OF EDUCATION, ,Uttar Pradesh,-,-,-
FACULTY OF EDUCATION, ,Uttar Pradesh,-,-,-
FACULTY OF EDUCATION, ,Uttar Pradesh,-,-,-
FACULTY OF EDUCATION & ALLIED SCIENCE, ,Uttar Pradesh,"0581-2527263,2528106",-,-
Faculty of Engineering and Technology,DELHI ,Delhi,-,-,-
Faculty of Engineering and Technology Uttra Pradesh,AGRA ,Uttar Pradesh,"0562-2460486,2268553",-,-
Faculty of Law, ,Bihar,094312-22900,-,http://www.du.ac.in/du/index.php?page=law
FACULTY OF MANAGEMENT, ,Uttar Pradesh,05278-246883,jbs_faizabad@yahoo.co.in,-
