G B College, ,Bihar,-,-,-
"G B College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
G B M College, ,Bihar,-,-,-
G B Pant Memorial Government College, ,Himachal Pradesh,-,-,-
College Of Technology G B Pant University Of Agriculture Tech, ,Uttaranchal,"+91-5944-233320,233350",deanct@gbpuat.ernet.in,http://www.gbpuat.ac.in/
"G B Patil School Of Nursing,Latur",LATUR ,Maharashtra,-,-,-
G D College, ,Bihar,-,-,-
G D M College, ,Bihar,-,-,-
G D Modi College Arts, ,Gujarat,-,-,-
G E Socity Arts And Commerce College, ,Karnataka,-,-,-
G G D S D College Haryana, ,Haryana,-,-,-
G G D S D College Himachal Pradesh, ,Himachal Pradesh,-,-,-
"G G Hospital School Of Nursing,Thiruvananthapuram",TRIVANDRUM ,Kerala,-,-,-
"G G School Of Nursing & Paramedical,Agra",AGRA ,Uttar Pradesh,-,-,-
"G G School Of Nursing, , Agra", ,,-,-,-
G H Sanghavi Shikshan Mahavidyalaya, ,Gujarat,-,-,-
"G J Surya College Of Nursing ,Shivamogga",SHIMOGA ,Karnataka,-,-,-
"G J Surya College Of Nursing,Shivamoga",SHIMOGA ,Karnataka,-,-,-
G Karunakaran Memorial Co-Operative College Of Management And Technology, ,Kerala,"0472-2887399,8281250399",gkmes2340@gmail.com,http://www.gkmcmt.com
"G Kuppuswamy Naidu Memorial Hospital, School Of Nursing, , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
G L A College Jharkhand, ,Jharkhand,-,-,-
G L Bajaj Group of Institutions, ,Uttar Pradesh,+917500100051,info@glbajajgroup.org/glbajajgroup@gmail.com,ww.glbajajgroup.org
G L M College, ,Bihar,-,-,-
"G L Saini Memorial College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
"G L Saini Memorial Institute Of Nursing ,Jaipur",JAIPUR ,Rajasthan,-,-,-
"G M D Anm Nursing School,Nagpur",NAGPUR ,Maharashtra,-,-,-
G M R D College, ,Bihar,-,-,-
"G N M Training Centre , Purulia", ,West Bengal,-,-,-
"G N M Training Centre, Dr B R Ambedkar Medical College , Raipur",RAIPUR ,Chhattisgarh,-,-,-
"G N M Training School , Nadia",NADIA ,West Bengal,-,-,-
G N W Socitys Arts And Commerce First Grade College, ,Karnataka,-,-,-
G P TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
G R D COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"G R D International Institute Of Nursing , Hoshiarpur",HOSIARPUR ,Punjab,-,-,-
"G R R College Of Nursing,Bangalore",BANGALORE ,Karnataka,"080-28361988,9845191006",grrcollege2004@gmail.com,http://grrinstitutions.com
"G R R College Of Nursing,Bangalore",BANGALORE ,Karnataka,"080-28361988,9845191006",grrcollege2004@gmail.com,http://grrinstitutions.com
"G S L College Of Nursing , East Godavari",EAST GODAVARI ,Andhra Pradesh,-,-,-
"G S L School Of Nursing , Rajahmundry",RAJAHMUNDRY ,Andhra Pradesh,+91--8832419998,info@gsl-medicalcollege.org,-
"G S L Trust, Swatantra College Of Nursing,Rajahmundry",RAJAHMUNDRY ,Andhra Pradesh,-,-,-
G S Lohia Girls College, ,Assam,-,-,-
"G S R M Memorial College Of Nursing,Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
"G S R M Memorial School Of Nursing, , Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
G S Science College, ,Karnataka,-,-,-
"G T R College Of Nursing,East Godavari",EAST GODAVARI ,Andhra Pradesh,-,-,-
"G T R School Of Nursing , Kakinada",KAKINADA ,Andhra Pradesh,0884-5599776,-,-
"G V M Nursing College,Panchmahal",PANCHMAHAL ,Gujarat,-,-,-
G V M S Shri G G P R College Commerce Economics, ,Goa,-,-,-
G V P P Government First Grade College, ,Karnataka,-,-,-
G V R S Government Degree College,KURNOOL ,Andhra Pradesh,08516–222028,-,-
G V S M Government Degree College,PRAKASAM ,Andhra Pradesh,"08599–274006,234037",-,-
G Venkatswamy Naidu College, ,Tamil Nadu,-,-,-
G. B. Pant Engineering College, ,Uttaranchal,01368-228030,principal@gbpec.org,www.gbpec.net
G. H. Raisoni Law School, ,Maharashtra,"07104-237688,9975497711",ashokyende@gmail.com,http://ghrlawschool.raisoni.net/
G. Kasiviswanadh Degree College,SRIKAKULAM ,Andhra Pradesh,94401–95591,-,-
G. Narayanamma Institute of Technology and Science, ,Andhra Pradesh,040-23565648/23565649/23566803,tpognits@gmail.com/directorgnits@yahoo.in,www.gnits.ac.in
"G. Pulla Reddy College of Pharmacy , Hyderabad",HYDERABAD ,Andhra Pradesh,"040-23515513,040-23517222",gprcphyd@yahoo.co.in,www.gprcp.ac.in
G. Pulla Reddy Degree College, ,Andhra Pradesh,23513054,	gprcphyd@yahoo.co.in,http://www.gprcp.ac.in
"G. Pulla Reddy Dental College & Hospital, Kurnool",KURNOOL ,Andhra Pradesh,"08518-274074,273360.",-,www.pullareddydentalcollege.org
G. Singh Vidhi Mahavidyalaya, ,Uttar Pradesh,"0532-3209796,09919511100",-,http://www.gsinghlawcollege.ac.in/
G. V. Acharya Polytechnic, ,Maharashtra,229638,leelaeducation@yahoo.com,www.leelaeducation.org
G.B. Murarka Arts & Commerce College, ,Maharashtra,-,-,-
G.B. Pant Degree College, ,Uttar Pradesh,-,-,-
G.B. Pant Govt. Engineering College,DELHI ,Delhi,011-26382314-18,sharma@hotmail.com,-
G.B.N. Govt. Polytechnic, ,Haryana,-,-,http://govtpolynlk.gov.in/
G.B.R. Degree College,ANAPARTHI ,Andhra Pradesh,"08857–227407,228897",-,www.gbrcampus.com
G.B.R. Degree College, ,Andhra Pradesh,"08857-227044,228907",gbrpgcourses@yahoo.com,www.gbrcolleges.com/pgcourses/
G.B.S D.ED COLLEGE, ,Karnataka,-,-,-
G.B.TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
G.C.Memorial College of Education, ,West Bengal,-,-,-
G.D MEMORIAL COLLEGE OF MANAGEMENT & TECHNOLOGY,JODHPUR ,Rajasthan,-,gdmcmto7@gmail.com,-
G.D. Memorial Homoeopathic Medical College and Hospital,PATNA ,Bihar,-,-,-
G.D. Sawant Arts Commerce Science & B.C.S. College, ,Maharashtra,-,-,-
G.D.Bagaria Teacher's Training College, ,Jharkhand,-,-,-
G.D.M. Girls Degree College, ,Uttar Pradesh,-,-,-
G.E. Societys N.B. Thakur Law College, ,Maharashtra,-,-,-
G.E. Societys N.B. Thakur Law College, ,Maharashtra,-,-,-
G.E.T . TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
G.G.D.S.D. College, ,Punjab,-,-,-
G.G.D.S.D. College, ,Haryana,-,-,-
G.G.N. Khalsa College, ,Punjab,-,-,-
G.H. PATEL P.G. INSTITUTE OF BUSINESS MANAGEMENT,ANAND ,Gujarat,02692-2428463,ghpibm@yahoo.com,www.spuvvn.edu
G.H. RAISONI ACADEMY FOR CREATIVE TEACHING, ,Maharashtra,-,-,-
G.H. Raisoni College of Engineering, ,Maharashtra,"91-07104-235220,235390",principal.ghrce@raisoni.net,www.ghrce.raisoni.net
G.H. Raisoni College of Engineering and Management, ,Maharashtra,"91-07104-235220,235390",principal@ghrce.edu.in,ghrce.raisoni.ne
G.H. Raisoni Institute of Engineering and Technology for Women, ,Maharashtra,09657860550,ghrietw@raisoni.net,http://ghrietw.raisoni.net/?
