I B College, ,Haryana,-,-,-
"I C Institute Of Women Health Worker , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
I D S G Govt College, ,Karnataka,-,-,-
"I E T School Of Nursing,Jaunpur", ,Uttar Pradesh,-,-,-
"I G E S Institue Of Nursing And Health Sciences , Jammu Tawai",JAMMU ,Jammu and Kashmir,-,-,-
"I G E S Institute Of Nursing And Health Sciences , Jammu",JAMMU ,Jammu and Kashmir,+91-191-2460248,igesinstitute@yahoo.com,www.igesociety.org
I G Govt College, ,Haryana,-,-,-
I G Mahila Mahavidyalaya, ,Haryana,-,-,-
I G National College, ,Haryana,-,-,-
"I H M Hospital, School Of Nursing,Kottayam",KOTTAYAM ,Kerala,-,-,-
"I I M T College Of Medical Science, School Of Nursing , Meerut",MEERUT ,Uttar Pradesh,-,-,-
"I I M T College Of Medical Sciences,Meerut",MEERUT ,Uttar Pradesh,-,-,-
"I I M T School Of Nursing, , Agra",AGRA ,Uttar Pradesh,-,-,-
"I I M T School Of Nursing, , Agra",AGRA ,Uttar Pradesh,-,-,-
"I I T S Collegeschool Of Nursing,Guna",GUNA ,Madhya Pradesh,-,-,-
"I I T S School Of Nursing , Guna",GUNA ,Madhya Pradesh,-,-,-
"I L S Nursing Institute , Agartala",AGARTALA ,Tripura,-,-,-
"I L S Nursing Institute , behind Central School, Agartala",AGARTALA ,Tripura,-,-,-
"I R Polytechnic, Bangalore", ,,08028394570,-,-
"I R T School Of Nursing , Erode",ERODE ,Tamil Nadu,-,-,-
I. E. R. T. Allahabad, ,Uttar Pradesh,0532-2540975,-,http://www.iert.in/
I. I. M. T. Law College,MEERUT ,Uttar Pradesh,"0121-2621006,0121-2620287,0121-2620342,0121-2",mail@iimtindia.net,-
I. L. S. Law College,PUNE ,Maharashtra,020-25656775,ilslaw@vsnl.com,www.ilslaw.edu
I. M. E. Law College,SHIKOHABAD ,Uttar Pradesh,"9650784051,9650784052,9650784054","ime@vsnl.net,directorpgdm@ime.in",-
I. M. Nanavati Law College,AHMEDABAD ,Gujarat,26445736,-,-
I. M. S. Law College, ,Uttar Pradesh,"0120-2401043,0120-2401050,0120-2401051",-,-
I. P. E. M. Law Academy,GHAZIABAD ,Uttar Pradesh,"0120-2840653,0120-2840390,0120-2840780",info@ipemgzb.com,-
I.A.M.R. Law College,GHAZIABAD ,Uttar Pradesh,-,-,-
I.B WOMEN TEACHER TRAINING COLLEGE & MANAGEMENT, ,Haryana,-,-,-
I.C.N.A.S. College,KOZHIKODE ,Kerala,0495-3942030,icnas@rediffmail.com,-
"I.C.V. Polytechnic, Jhargram", ,West Bengal,(03221)255020,-,-
I.E.S. TEACHERS TRAINING COLLEGE, ,Karnataka,-,-,-
I.G.M. TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
I.H.R.D. College Of Applied Sciences,PATHANAMTHITTA ,Kerala,0473-424076,casa_ihrd@hotmail.com,-
"I.H.R.D. College Of Applied Sciences, Mavelikara",ALAPPUZHA ,Kerala,+91-479-2450005,ihrd.itd@gmail.com,http://www.ihrd.ac.in
I.I.L.M ACADEMY OF HIGHER LEARNING, ,Uttar Pradesh,"91-522-2727292,93,94,95,96",info@iilmlko.ac.in,www.iilmlko.ac.in
I.I.L.M ACADEMY OF HIGHER LEARNING JAIPUR,JAIPUR ,Rajasthan,"+91-141-2791150,2791160",iilmjaipur@iilm.ac.in,http://www.iilm.ac.in/jaipur
"I I M T College Of Medical Sciences,Meerut", ,Uttar Pradesh,-,-,-
I.I.M.T College of Science and Technology, ,Uttar Pradesh,-,-,-
I.I.M.T Engineering College, ,Uttar Pradesh,0120-2322655,mail@iimtindia.net,http://www.iimtindia.net/
I.I.M.T Law College, ,Uttar Pradesh,-,-,-
I.I.M.T. COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
I. I. M. T. Law College,MEERUT ,Uttar Pradesh,"0121-2621006,0121-2620287,0121-2620342,0121-2",mail@iimtindia.net,-
I. L. S. Law College,PUNE ,Maharashtra,020-25656775,ilslaw@vsnl.com,www.ilslaw.edu
I.M. Nanawati Law College,AHMEDABAD ,Gujarat,91-79-26445736,info@imnanavati.org,www.imnanavati.org/
I. M. E. Law College,GHAZIABAD ,Uttar Pradesh,"9650784051,9650784052,9650784054","ime@vsnl.net,directorpgdm@ime.in",-
I.M.P.S. Degree College, ,Orissa,-,-,-
I. M. S. Law College,NOIDA ,Uttar Pradesh,"0120-2401043,0120-2401050,0120-2401051",-,-
I.P. Degree College, ,Uttar Pradesh,-,-,-
I.P. POST GRADUAT COLLEGE, ,Uttar Pradesh,-,-,-
I.P. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
I. P. E. M. Law Academy,GHAZIABAD ,Uttar Pradesh,"0120-2840653,0120-2840390,0120-2840780",info@ipemgzb.com,-
I.P.S. Law College,GHAZIABAD ,Uttar Pradesh,-,info@insinstitute.in,-
I.P.S.E. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
I.S.M. ACADEMY, ,Uttar Pradesh,-,-,-
I.S.S. COLLEGE OF TEACHER EDUCATION, ,Kerala,-,-,-
I.T.M. College Of Arts & Science,KANNUR ,Kerala,"954982-276815(O),954902-346070(R)",-,-
