"K.A.P Viswanathan Government Medical College, Trichy",TRICHY ,Tamil Nadu,"0431-401011,0431-771465",deankapv@yahoo.co.in,http://www.tnhealth.org/mekap.htm
K A R Polytechnic College, ,Tamil Nadu,"04174-323144,04174-293333",kar_principal@yahoo.co.in,www.karpoly.info
K B College, ,Jharkhand,-,-,-
K B Jha College, ,Bihar,-,-,-
K B N College,VIJAYAWADA ,Andhra Pradesh,"0866–2565679,2666658",kesocietyl@yahoo.co.in,http://www.kbncollege.ac.in/
"K B Patel College Of Nursing,koria",KORBA ,Chhattisgarh,-,-,-
K B Women'S College, ,Jharkhand,-,-,-
K C Das Commerce College, ,Assam,-,-,-
K C Seth Arts College, ,Gujarat,-,-,-
K C T C College, ,Bihar,-,-,-
"K C T Polytechnic, Gulbarga", ,Karnataka,08472258060,ppl_307@yahoo.com,-
"K D A Nursing College , Mumbai",MUMBAI ,Maharashtra,-,-,-
"K D College Of Nursing , Hoshiarpur",HOSIARPUR ,Punjab,-,-,-
"K D Gavit Nursing College, Nandurbar",NANDURBAR ,Maharashtra,-,-,-
"K D Gavit Nursing School ,Nandurbar",NANDURBAR ,Maharashtra,-,-,-
K D S College, ,Bihar,-,-,-
"K D School Of Nursing , Hoshiarpur",HOSIARPUR ,Punjab,-,-,-
"K E M Hospital , Bombay",MUMBAI ,Maharashtra,-,-,-
"K E T School Of Nursing , Bidar",BIDAR ,Karnataka,-,-,-
"K G College Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
"K G Hospital, School Of Nursing,Angamaly", ,Kerala,-,-,-
"K G N M Institute Of Nursing Education ,Jhalawar",JHALAWAR ,Rajasthan,-,-,-
K G R L Degree College,BHIMAVARAM ,Andhra Pradesh,"08816–234438,231324",-,-
K G R L Degree College, ,Andhra Pradesh,-,-,-
"K G School Of Nursing, Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
K H Government Degree College,DHARMAVARAM ,Andhra Pradesh,08559–223074,-,-
K H Madhvani Arts And Commerce College, ,Gujarat,-,-,-
"K I M S College Of Nursing , Nalgonda",NALGONDA ,Andhra Pradesh,-,-,-
"K I M S College Of Nursing , Thiruvananthapuram",TRIVANDRUM ,Kerala,-,-,-
"K I M S College Of Nursing,Eastgodavery",EAST GODAVARI ,Andhra Pradesh,-,-,-
"K I M S College Of Nursing,segunderabad",SECUNDERABAD ,Andhra Pradesh,-,-,-
"K I M S School Of Nursing,Trivandrum",TRIVANDRUM ,Kerala,-,-,-
"K J School Of Nursing,Chennai",CHENNAI ,Tamil Nadu,-,-,-
"K J Somaiya College Of Engineering, Vidya-Nagar",VIDYAVIHAR ,Maharashtra,(022)-22048272,director@engg.samaiya.edu,www.somaiya.edu
"K J Somaiya College Of Nursing , Mumbai",MUMBAI ,Maharashtra,-,-,-
"K J T E S Polytechnic, Mulbagal", ,Karnataka,08159-243249,-,-
"K K C College Of B Sc. Nursing,Chittoor",CHITOOR ,Andhra Pradesh,-,-,-
"K K C College Of Nursing , Chittoor",CHITOOR ,Andhra Pradesh,-,-,-
"K K E C S College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
"K K Institute Of Nursing,Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
"K K Institute Of Nursing,Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
K K M College, ,Bihar,-,-,-
K K M College Jharkhand, ,Jharkhand,-,-,-
K K Memorial School Of Nursing & Research,BHOPAL ,Madhya Pradesh,-,-,-
K K Parekh Commerce College, ,Gujarat,-,-,-
"K K Wagh College Of Nursing , Nashik",NASHIK ,Maharashtra,-,-,-
"K L E Polytechnic, Haveri", ,Karnataka,08375232287,-,-
K L E S 'S Arts Commerce College For Women, ,Karnataka,-,-,-
K L E Society Polytechnic, ,Karnataka,"08350-271566,9008811278",-,-
"K L E Society Polytechnic, Bailhongal", ,Karnataka,-,-,-
"K L E Society Polytechnic, Chikodi", ,Karnataka,08338272059272124,-,-
"K L E Society Polytechnic, Hubli", ,Karnataka,08362372204,-,-
"K L E Societys Institute Of Nursing Sciences , Ankola", ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences , Belgam",BELGAUM ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences , Belgaum",BELGAUM ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences , Hubli",HUBLI ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences , Uttar Kannada", ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences ,Dharwad",DHARWAD ,Karnataka,-,-,-
"K L E Societys Institute Of Nursing Sciences , Ankola", ,Karnataka,-,-,-
K L E Societys S Nijalingappa College,BANGALORE ,Karnataka,"080-23526055,080-23320902",info@kle-college.org,www.kle-college.org
K L E Socitys Gogte Institute Technology, ,Karnataka,-,-,-
K L E Socitys Gogte Institute Technology, ,Karnataka,-,-,-
K L E Socitys Gogte Institute Technology, ,Karnataka,-,-,-
"K L E University Institute Of Nursing Sciences , Belgaum",BELGAUM ,Karnataka,-,-,-
"K L E Universitys Institute Of Nursing Sciences,Belgaum",BELGAUM ,Karnataka,-,-,-
"K L E Universitys Institute Of Nursing Sciences,Belgaum",BELGAUM ,Karnataka,-,-,-
K L E's Gogte College of Commerce, ,Karnataka,-,-,-
K L ES's Basavaprabhu Kore Arts Science Commerce College, ,Karnataka,-,-,-
K L ES's GIB Arts Science & Commerce College, ,Karnataka,-,-,-
K L ES's Gurusiddappa Kotambri Law College, ,Karnataka,-,-,-
K L ES's Jagadguru Tontadarya College, ,Karnataka,-,-,-
K L ES's SA Manvi Law College, ,Karnataka,-,-,-
K L ES's SK Arts and HSK Science Institute, ,Karnataka,-,-,-
K L ES's VS Bellubi Arts and Commerce College, ,Karnataka,-,-,-
K L Mehta Dayanand College For Women, ,Haryana,-,-,-
K L S College, ,Bihar,-,-,-
"K L S School Of Nursing , Hospet",HOSPET ,Karnataka,-,-,-
K L Sharma Genral Nursing School, ,Madhya Pradesh,-,-,-
"K L Sharma School Of Nursing , Sehore", ,Madhya Pradesh,-,-,-
"K L Shastri Smarak Nursing School,Lucknow",LUCKNOW ,Uttar Pradesh,-,-,-
K L TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
K L University, ,Andhra Pradesh,08645-246948,chancellor@kluniversity.in,http://www.kluniversity.in
K L University Business School, ,Andhra Pradesh,9603498483,-,www.klubusinessschool.com
"K M C College Of Nursing , Meerut",MEERUT ,Uttar Pradesh,-,-,-
"K M C College Of Nursing , Trichy",TRICHY ,Tamil Nadu,-,-,-
"K M C College Of Nursing , Meerut",MEERUT ,Uttar Pradesh,-,-,-
"K M C H College Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
"K M C School Of Nursing , Tiruchirappalli", ,Tamil Nadu,-,-,-
"K M C School Of Nursing,Meerut",MEERUT ,Uttar Pradesh,-,-,-
"K M C School Of Nursing,Thiruvanathapuram",TRIVANDRUM ,Kerala,-,-,-
"K M C T College Of Nursing , Calicut",CALICUT ,Kerala,-,-,-
"K M C T School Of Nursing,Calicut",CALICUT ,Kerala,-,-,-
K M College Education, ,Haryana,-,-,-
K M COLLEGE OF EDUCATION LAKSHMI EDUCATION AND RESEARCH, ,Tamil Nadu,-,-,-
K M D College, ,Bihar,-,-,-
K M E A Engineering College,ALWAYE ,Kerala,0484-2411003,kmea_college@rediffmail.com,www.kmeacollege.com
K M Government College, ,Haryana,-,-,-
"K M H Memorial School Of Nursing,Malapuram",MALAPPURAM ,Kerala,-,-,-
"K M J College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
K N Mahila College, ,Bihar,-,-,-
"K N N College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"K N N School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"K N S School Of Nursing,Kottarakara",KOTTARAKKARA ,Kerala,-,-,-
K N SUBBARAJ MEMORIAL COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
K N V V Sanghals Arts Commerce College, ,Karnataka,-,-,-
K O College, ,Jharkhand,-,-,-
K O Shah Municipal Arts And Commerce College, ,Gujarat,-,-,-
K P College, ,Bihar,-,-,-
"K P M School Of Nursing,Malapuram",MALAPPURAM ,Kerala,-,-,-
K P R Institute of Engineering and Technology, ,Tamil Nadu,0422-2635600,kprietcbe@gmail.com,http://kpriet.ac.in/
"K P S M Anm Training School,Ramanagara",RAMNAGARA ,Karnataka,-,-,-
"K Pandyarajah Ballal Nursing Institute , Mangalore",MANGALORE ,Karnataka,-,-,-
"K Pandyarajah Ballal Nursing Institute , Ullal", ,Karnataka,-,-,-
K R B Girls' College,KAMRUP ,Assam,0361-2478756,-,-
K R C E Socitys G G D Arts B M P Commerce S V S Science College, ,Karnataka,-,-,-
"K R College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
K R Desai Arts And Commerce College, ,Gujarat,-,-,-
K R E College, ,Karnataka,-,-,-
K R K Government Degree College,PRAKASAM ,Andhra Pradesh,"08593–223154,224067",gdcadk@yahoo.com,-
K R M Muthiah College Arts And Science Chennai,CHENNAI ,Tamil Nadu,-,-,-
K R R Government Arts Science College,KODAD ,Andhra Pradesh,08683–255340,-,-
"K R S Institute Of Paramedical Sciences And Nursing,Gonda", ,Uttar Pradesh,-,-,-
"K R School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"K R School Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
K S College, ,Bihar,-,-,-
K S E R T College Education, ,Jammu and Kashmir,-,-,-
K S E R T College Education, ,Jammu and Kashmir,-,-,-
K S G M College, ,Jharkhand,-,-,-
"K S Hegde Medical Academy, Mangalore", ,Karnataka,0824-2204490/91/92,dean.kshema@nitte.edu.in/admission@nitte.edu.in,http://www.nitte.edu.in/kshema/
"K S Institute Of Women Health Worker , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
K S M MEMORIAL DED COLLEGE, ,Karnataka,-,-,-
"K S Memorial College Of Nursing , Jodhpur",JODHPUR ,Rajasthan,-,-,-
"K S Memorial College Of Nursing , Jodhpur",JODHPUR ,Rajasthan,-,-,-
"K S Memorial School Of Nursing,Jodhpur",JODHPUR ,Rajasthan,-,-,-
K S N Govt Degree College For Women, ,Andhra Pradesh,08554-221637,-,http://www.ksngdcw.com/
