L B S Memorial College, ,Jharkhand,-,-,-
L C Bharali College, ,Assam,-,-,-
"L Chaobi Nursing Institute , Imphal",IMPHAL ,Manipur,-,-,-
"L D H T Nursing School,Hingoli", ,Maharashtra,-,-,-
"L G B Regional Institute Of Mental Health , Tezpur",TEZPUR ,Assam,-,-,-
L K C Jagdamba Andh Vidyalaya Samiti,HANUMANGARH ,Rajasthan,0154-2464458/2464077,"lkcsjavs@lkcjagdamba.com,ranjana_sethi@lkcjagdamba.com",-
"L M R College Of Nursing , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
L N College, ,Bihar,-,-,-
L N D College, ,Bihar,-,-,-
L N Gupta College Science Commerce,HYDERABAD ,Andhra Pradesh,24414149,lngsc@yahoo.com,-
L N Janta College, ,Bihar,-,-,-
L N K College Education, ,Gujarat,-,-,-
L N Mishra B Jha Mahila College, ,Bihar,-,-,-
L N Mishra Memorial College, ,Bihar,-,-,-
"L N Nursing College , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
L N Nursing School,BHOPAL ,Madhya Pradesh,-,-,-
L N Rameshwar Sanskrit Mahavidyalaya, ,Bihar,-,-,-
L N T COLLEGE OF EDUCATION, ,Haryana,-,lntcollege@ymail.com,-
L N T Mahavidyalaya, ,Bihar,-,-,-
L R Valia Arts And P R Mehta Commerce College, ,Gujarat,-,-,-
L S College, ,Bihar,-,-,-
L T K College, ,Assam,-,-,-
"L,J Polytechnic", ,Gujarat,(079)29096539,ljiet@ljinstitutes.org,www.ljinstitutes.org
L. B. S. Law College, ,Madhya Pradesh,"07594-20436,07594-21169",-,-
L. M. G. Memorial Law College, ,Manipur,-,-,-
L. M. S. Law College,IMPHAL ,Manipur,-,-,-
L. Patel Centre for Science and Technology,ANAND ,Gujarat,-,-,www.istar.ac.in
L. R. Institute of Legal Studies,SOLAN ,Himachal Pradesh,94180-20707,-,-
L.A.S.E.DEPARTMENT OF EDUCATION, ,Uttar Pradesh,-,-,-
L.B.S College of Engineering, ,Kerala,"04994-250290,04994-250400",principal@lbsce.org,www.lbsce.org
L.B.S. INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,CHANDIGARH ,Chandigarh,07752-260025,dms_ggu@rediffmail.com,www.ggu.ac.in
L.B.S. P.G COLLEGE, ,Uttar Pradesh,05262-232994,-,http://www.lbspgcollege.org.in
L.B.S. P.G. COLLEGE, ,Uttar Pradesh,-,-,-
L.B.S. TEACHER TRAININGINSTITUTE, ,Rajasthan,-,-,-
L.C.R.T. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
L.E.S. Smt. K. Mirji Arts And Commerce College, ,Karnataka,-,-,-
L.G. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
L.J. Institute of Computer Applications, ,Gujarat,079-29097283,-,http://www.ljinstitutes.org/institutes/l-j-inst-of
L.J. Institute of Engineering & Technology,AHMEDABAD ,Gujarat,"079-26890371,26891718",Ljiet7@yahoo.com,www.ljinstitutes.org.
L.J. INSTITUTE OF MANAGEMENT STUDIES, ,Gujarat,-,-,http://www.ljinstitutes.org/contact-us/
"L.J. Institute of Pharmacy , Ahmedabad",AHMEDABAD ,Gujarat,+91-79-26890512.,-,www.ljinstitutes.org
L.L.R.M. Medical College, ,Uttar Pradesh,"+91-9897141429(M),2760888",medllrm@yahoo.com,-
"L.L.R.M.Medical College, Meerut",MEERUT ,Uttar Pradesh,"0121-276088,2760555",medllrm@yahoo.com,www.llrmmedicalcollege.nic.in
"L.M. College of Pharmacy , ,AHMEDABAD",AHMEDABAD ,Gujarat,+91-79-26302746,mukeshgohel@hotmail.com,www.lmcp.in
L.M.S. Law College, ,Manipur,-,-,-
L.N COLLEGE, ,Uttar Pradesh,-,-,-
"L.N. Medical College and Research Centre,Bhopal",BHOPAL ,Madhya Pradesh,+91(755)4049610/14/16/20,"lnmcbhopal@lnctgroup.in,jkhospital@lnctgroup.in",www.lnctgroup.in
L.N.INSTITUTE OF TEACHER EDUCATION, ,Rajasthan,-,-,-
L.N.M. COLLEGE OF BUSINESS MANAGEMENT,BHAGALPUR ,Bihar,0621-2255905,kmishra_3@rediffmail.com,-
L.N.M. Institute Of Economic Development & Social Change,PATNA ,Bihar,"0612-2207500,9431602255",kahsubra@rediffmail.com,-
L.N.Mishra College of Business Management, ,Bihar,"0621-2255905,2250204",info@lnmcbm.org,http://www.lnmcbm.org/
L.N.T. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
L.P. POST GRADUAT COLLEGE, ,Uttar Pradesh,-,-,-
L.R. COLLEGE OF ADVANCED STUDIES, ,Delhi,-,-,-
L.R. INSTITUTE OF EDUCATION, ,Himachal Pradesh,-,-,-
L.R. Institute of Engineering and Technology, ,Himachal Pradesh,"01792-252851,252852",	lakhwinder.singh@lrinstitutes.com,http://www.lrinstitutes.com
L. R. Institute of Legal Studies,SOLAN ,Himachal Pradesh,94180-20707,-,-
L.R. INSTITUTE OF MANAGEMENT, ,Himachal Pradesh,01792-252524,lrcpharmacy@rediffmail.com,-
L.R. Polytechnic, ,Himachal Pradesh,01792304802,lrpolytechnic2010@gmail.com,http://www.lrinstitutes.com/
L.R.G. Government Arts & Science College For Women,COIMBATORE ,Tamil Nadu,-,lrggctop@sanchar.net.in,-
L.T.R. INSTITUTE OF TECHNOLOGY, ,Uttar Pradesh,-,-,-
L.V.H. Arts Science & Commerce College, ,Maharashtra,-,-,-
L.V.R. NAIDU COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
LABOUR INDIA COLLEGE OF TEACHER EDUCATION, ,Kerala,-,-,-
Lachoo Memorial College Of Science, ,Rajasthan,"91-291-431238,433919",office@lachoomemorial.org,www.lachoomemorial.org
"Lachoo Memorial College of Science & Technology , Jodhpur", ,Rajasthan,-,-,-
LAD and Smt. SRP College for Women, ,Maharashtra,"0712-6464146,2246623,2247192",ladcollegebiotechnagpur@yahoo.co.in,www.ladcollege.org
LADWA TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
Lady Barabourne College, ,West Bengal,-,-,-
Lady Doak College, ,Tamil Nadu,-,info@ladydoak.org,-
Lady Harding Medical College & Hospital, ,Delhi,-,-,-
"Lady Hardinge Medical College, New Delhi",DELHI ,Delhi,011-23343984,pmslhmc@mail.com,http://www.lhmc.in/
"Lady Health Visitors School , Patna",PATNA ,Bihar,-,-,-
Lady Irwin College,DELHI ,Delhi,-,-,-
"Lady Irwin College, New Delhi",DELHI ,Delhi,"23711222,23321635Ext.113/118",-,www.ladyirwin.edu.in
Lady Kean Girls College, ,Meghalaya,-,-,-
"Lady Reading Health School , Delhi",DELHI ,Delhi,-,-,-
Lady Reid Basic Training Centre, ,Meghalaya,-,-,-
"Lady Shri Ram College For Women, New Delhi",DELHI ,Delhi,"	26434459,26460400,26460413",lsrc@vsnl.com,www.lsrcollege.org
LADY WILLINGDON INSTITUTE OF ADVANCED STUDY IN EDUCATION, ,Tamil Nadu,-,principallwiase@yahoo.co.in,-
Lady Willingdon Training College,CHENNAI ,Tamil Nadu,-,-,-
LAHERI TEACHERS TRAINING COLLEGE, ,Rajasthan,-,-,-
Lahoti Degree College,KONDANAGULA ,Andhra Pradesh,-,-,-
"Lajjawati Jain Memorial Nursing Institute , Ludhiana",LUDHIANA ,Punjab,-,-,-
"Lajjiawati Jain Memorial Nursing Institute , Ludhiana",LUDHIANA ,Punjab,-,-,-
Lajpat Rai College, ,Uttar Pradesh,-,-,-
Lajpat Rai D.A.V. College, ,Punjab,-,-,-
Lajpat Rai Law College,SAMBALPUR ,Orissa,-,-,-
"Lake Side College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"Lake Side Medical Centre & Hosp Sch Of Nsg., Bangalore",BANGALORE ,Karnataka,-,-,-
LAKHAN LAL SAHRAN SINGH MAHAIDAYALYA, ,Uttar Pradesh,-,-,-
LAKHAN LAL SHARAN SINGH MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
Lakhdhirji Engineering College, ,Gujarat,-,-,-
Lakhimpur Commerce College, ,Assam,-,-,-
Lakhimpur Girls College, ,Assam,-,-,-
Lakhimpur Kendriya Mahavidyalaya, ,Assam,-,-,-
Lakhimpur Post Graduate Training College, ,Assam,"+91-03752-223026(O),223165(R)",college.lpgt@gmail.com,www.lpgtcollege.org
Lakhipur College,LAKHIMPUR ,Assam,03663-283429,-,-
Lakhmi Chand Institute of Technology, ,Chhattisgarh,"+9179080002,3,4,9630052722,9179080042","info@lcitbilaspur.com,lcit.bsp@gmail.com",http://www.lcitbilaspur.com/
