MAHARISHI DAYANAND TEACHER TRAINING COLLEGE, ,Punjab,-,-,-
Maharishi Dayanand University,ROHTAK ,Haryana,951262-272436,-,-
MAHARISHI DAYANAND VISHAWVIDYALAYA, ,Rajasthan,-,-,-
MAHARISHI INSTITUTE OF MANAGEMENT, ,Madhya Pradesh,-,-,-
"Maharishi Institute of Management, Bangalore", ,Karnataka,+918027303624/27204175,directormim9@gmail.com,http://www.maharishiinstituteofmanagement.com
Maharishi Karve Shree Shikshan Sanstha's Cummins College of Engineering for Women,PUNE ,Maharashtra,25311000,-,www.cumminscollege.org
MAHARISHI MAHAVIDYALAYA, ,Madhya Pradesh,-,-,-
MAHARISHI MAHAVIDYALAYA, ,Madhya Pradesh,-,-,-
MAHARISHI MAHESH YOGI VEDIC VISHWAVIDYALAYA, ,Madhya Pradesh,07625-220345,mmyvvarpr@yahoo.in,http://www.mmyvv.com
Maharishi Mahesh Yogi Vedic Vishwavidyalaya, ,Madhya Pradesh,"+91761-4035629,+919981143573",mmyvvarpr@yahoo.in,www.mmyvvdde.com/
"Maharishi Markandeshwar College of Dental Sciences & Research , Mullana",AMBALA ,Haryana,"+91-8059930001,02,03,04,05,06",info@mmumullana.org,www.mmumullana.org
"Maharishi Markandeshwar College Of Nursing , Ambala",AMBALA ,Haryana,-,-,-
Maharishi Markandeshwar Institute of Computer Technology & Business Management, ,Haryana,"01731-275777-79,275792",admission@mmumullana.org,http://www.mmumullana.org
"Maharishi Markandeshwar Institute of Medical Sciences & Research, Ambala", ,Haryana,"01731-274070,275936","mmmcmullanan@yahoo.com,chairmangarg@rediffmail.com",-
"Maharishi Markandeshwar School Of G N M , Mullana",AMBALA ,Haryana,-,-,-
Maharishi Markandeshwar University, ,Haryana,01731304100,info@mmumullana.org,http://www.mmumullana.org/
"Maharishi Markandeshwar University, Solan", ,Himachal Pradesh,01792-268224,info@mmusolan.org,www.mmusolan.org
Maharishi Panini Sanskrit Vishwavidyalaya, ,Madhya Pradesh,0734-2526044,regpsvvmp@rediffmail.com,www.mpsvvujjain.org/
MAHARISHI TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
Maharishi University of Management and Technology, ,Chhattisgarh,"07752-214301,212272",-,http://www.mumt.com/
Maharishi Valmiki College Of Education,DELHI ,Delhi,22520543,mvcoe@yahoo.com,-
MAHARISHI VALMIKI TEACHER TRAINING COLLEGE, ,Punjab,-,-,-
Maharishi Ved Vigyan Arts & Commerce College, ,Madhya Pradesh,-,-,-
Maharishi Ved Vigyan Mahila Vidyapeeth, ,Madhya Pradesh,-,-,-
Maharishi Ved Vigyan Sanskrit Vidyapeeth College, ,Madhya Pradesh,-,-,-
MAHARISHI VIDYAMANDIR TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
Maharshi Dayanand Law College,JAIPUR ,Rajasthan,91-141-2614918,info@dayanandinstitutions.org,www.dayanandinstitutions.org/
Maharshi Dayanand Mahavidyalaya, ,Orissa,-,-,-
MAHARSHI DAYANAND MANEGMENT COLLEGE, ,Uttar Pradesh,-,-,-
Maharshi Dayanand University,ROHTAK ,Haryana,9101262431132,"rsdhankar_mdurvc@hotmail.com,vc@mdurohtak.net",www.mdurohtak.com/
Maharshi Degree College,MULUGH ,Andhra Pradesh,-,-,-
"Maharshi Degree College, Godavarikhani",GODAVARIKHANI ,Andhra Pradesh,08722–249449,-,-
"Maharshi Degree College, Kesamudram",KESAMUDRAM ,Andhra Pradesh,-,-,-
"Maharshi Degree College, Suryapet",SURYAPET ,Andhra Pradesh,-,principal@maharshicollege.com,-
"Maharshi Degree College, Thorruru",THORRUR ,Andhra Pradesh,-,-,-
"Maharshi Degree College, Vizianagaram",VIZIANAGARAM ,Andhra Pradesh,08965–286437,-,-
MAHARSHI KARVE STREE SHIKSHAN SAMSTHA B.ED. COLLGE FOR WOMEN, ,Maharashtra,-,-,-
Maharshi Karve Stree Shikshan Samstha's Shree Sidd, ,Maharashtra,-,-,-
Maharshi Karve Stree Shikshan Samsthas Shree Sidd, ,Maharashtra,-,-,-
"Maharshi Karve Stree Shikshan Samsthas,Pune",PUNE ,Maharashtra,-,-,-
Maharshi Karve Stree Shikshans Sansthas College of Law for Women, ,Maharashtra,"0712-2243605,0712-2229092,0712-2248468,09423",-,-
MAHARSHI KARVE STREE-SHIKSHAN SANSTHA, ,Maharashtra,-,-,-
