"N A B V Mahila Mandals Nursing Training Centre,Dhule",DHULE ,Maharashtra,-,-,-
N A Manjammal Polytechnic College, ,Tamil Nadu,"04563231115,9360318244,9486636659",namanjammalpolytechnic@yahoo.co.in,-
N B G S M College, ,Haryana,-,-,-
N B K R Arts Science College,NELLORE ,Andhra Pradesh,08624–228532,-,-
N B T N V C College,GUNTUR ,Andhra Pradesh,-,-,-
N C Bodiwala M C Desai Commerce College, ,Gujarat,-,-,-
"N C Patel School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"N D M V P Samajs Training College Of Nursing , Nashik",NASHIK ,Maharashtra,-,-,-
"N D M V P Samajs Training School Of Nursing,Nashik",NASHIK ,Maharashtra,-,-,-
"N D R K College Of Nursing , Hassan",HASSAN ,Karnataka,-,-,-
N E S Polytechnic, ,Karnataka,-,-,-
"N E Society Polytechnic, Chittapu", ,Karnataka,-,-,-
"N F Railway School Of Nursing , Gauhati",GUWAHATI ,Assam,-,-,-
N G Patel Polytechnic Isroli, ,Gujarat,"(02622)291106,9228000868",	svpess@yahoo.com,http://new.ngpatelpoly.ac.in
N H Patel College Education, ,Gujarat,-,-,-
"N H School Of Nursing , Nagapattinam",NAGAPATTINAM ,Tamil Nadu,-,-,-
"N I M S College Of Nursing , Thiruvananthapuram",TRIVANDRUM ,Kerala,-,-,-
"N I M S Nursing College , Jaipur",JAIPUR ,Rajasthan,-,-,-
"N I M S School Of Nursing , Hyderabad",HYDERABAD ,Andhra Pradesh,"+91-40-23489000,+914023396552,+914023489244,+91",nims@ap.nic.in,www.nims.ap.nic.in
"N I M S School Of Nursing, Jaipur",JAIPUR ,Rajasthan,-,-,-
"N I M S School Of Nursing,Malappuram",MALAPPURAM ,Kerala,-,-,-
"N I M T College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
"N I M T College Of Nursing,Jaipur",JAIPUR ,Rajasthan,-,-,-
N L S College, ,Bihar,-,-,-
"N M Trust Polytechnic, Nidasoshi", ,Karnataka,"08333278883,278884",-,-
"N M Wadia Charitable Hospital,Sholapur",SHOLAPUR ,Maharashtra,-,-,-
"N M Wadia Hospital, School Of Nursing, Pune",PUNE ,Maharashtra,-,-,-
N P A Centenary Polytechnic College, ,Tamil Nadu,"04266271043,9442082032",	principal@npakotagiri.com,www.npakotagiri.com
N P Arts And Commerce College, ,Gujarat,-,-,-
"N P M Instt Of Medical Science & Research , Keonjhargarh", ,Orissa,-,-,-
"N R A M Polytechnic, Nitte", ,Karnataka,08258?281263,-,-
"N R I College Of Nursing , Guntur",GUNTUR ,Andhra Pradesh,"918645-236777,+919849989813,+919849989843","ns@nrias.net,admissions@nrias.net",www.nrias.comwww.nrias.net
"N R I School Of Nursing , Guntur",GUNTUR ,Andhra Pradesh,"918645-236777,237401,237402,237403","cao@nrias.netorenquiry@nrias.net.,admissions@nrias.net,itdepartment@nrias.net",www.www.nrias.net
N R School of Architecture, ,Tamil Nadu,"04259-242620,242720&242820",nrinstitutions@gmail.com,http://www.nrinstitutions.org/
"N S Memorial Instt Of Medical Sciences, School Of Nursing ,Kollam",KOLLAM ,Kerala,-,-,-
