O P Jindal Institute of Technology, ,Chhattisgarh,07762-304000,jit@opjit.edu.in,http://www.opjit.org/
"O P R Memorialschool Of Nursing, , Cuddalore",CUDDALORE ,Tamil Nadu,-,-,-
"O. P. R. Memorial College Of Nursing , Cuddalore",CUDDALORE ,Tamil Nadu,-,-,-
O.P. Jindal Global University, ,Haryana,+91-130-3057800/801/802;,info@jgu.edu.in,www.jgu.edu.in
O.P.R. MEMORIAL COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
O.V.R. Degree College,TIRUPATI ,Andhra Pradesh,0877–2002256,-,-
Oakbrook Business School, ,Gujarat,"+917923970170,23970171",admissions@oakbrook.ac.in,http://www.oakbrook.ac.in/
"OAS Institute Of Technology And Management,Group Of Institutions", ,Tamil Nadu,04327-235467,contact@oasedu.in,www.oesedu.in
OASIS IMPERIAL COLLEGE OF EDUCATION, ,Madhya Pradesh,-,-,-
"Oberoi School of Hotel Management, Delhi",DELHI ,Delhi,+91-11-23890505,careers@oberoigroup.com,http://www.oberoihotels.com
"Ocean College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
"Ocean School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
Odaiyappa College of Engineering and Technology,TIRUPUR ,Tamil Nadu,04546-252670,ocet_theni@yahoo.com,www.ocettheni.com
Odapada Panchayat Samit Mahavidyalaya, ,Orissa,-,-,-
OJASWANI COLLEGE PAR EXCELLENCE, ,Madhya Pradesh,-,-,-
Ojaswini Institute of Management & Technology, ,Madhya Pradesh,"7812?226409,222623,",oimt@yahoo.co.in,http://ojaswini.org
"Ojaswini Institute Of Nursing Science & Research , Damoh",DAMOH ,Madhya Pradesh,"0-226409,9301174484",ojaswini_damoh@yahoo.co.in,www.ojaswini.org
"Ojaswini Institute Of Nursing Sciences & Research , Damoh",DAMOH ,Madhya Pradesh,-,-,-
Ojaswini Institute Par Excellence, ,Madhya Pradesh,-,-,-
"Ojaswini Nursing College , Sagar",SAGAR ,Madhya Pradesh,-,-,-
"Ojaswini Nursing College , Sagar",SAGAR ,Madhya Pradesh,-,-,-
"Ojaswini Nursing School, Sagar",SAGAR ,Madhya Pradesh,-,-,-
Olaver College, ,Orissa,-,-,-
OLIVE PG COLLEGE,IBRAHIMPATNAM ,Andhra Pradesh,-,-,-
