"P & T Patel Institute Of Nursing , Mahesana",MEHSANA ,Gujarat,-,-,-
P A C Ramasamy Raja Polytechnic College, ,Tamil Nadu,"04563-235740,04563-235421,9443867521",pacrpoly@gamil.com,www.pacrpoly.org
P A College of Engineering and Technology, ,Tamil Nadu,+914259221387,pacollege@yahoo.com,http://www.pacolleges.org/
"P A Polytechnic, Nadupadav", ,Karnataka,08242284710,-,-
P B N College,GUNTUR ,Andhra Pradesh,"08643–242014,242424",pbncndo@sancharnet.in,-
P B S College, ,Bihar,-,-,-
P B Sidhartha College Arts Science,VIJAYAWADA ,Andhra Pradesh,"0866–2475966,2490183",vjwpbscnet@sancharnet.in,-
"P C G M School Of Nursing , Mysore",MYSORE ,Karnataka,-,-,-
P C Vigyan Mahavidyalaya, ,Bihar,-,-,-
"P D Hinduja National Hospital & Mrc College Of Nursing , Mumbai",MUMBAI ,Maharashtra,-,-,-
P D M College Commerce, ,Gujarat,-,-,-
P D M Graduate Teachers College, ,Gujarat,-,-,-
"P D M S School Of Nursing,Meerut",MEERUT ,Uttar Pradesh,-,-,-
"P D M Subharati K Nursing School, Meerut",MEERUT ,Uttar Pradesh,-,-,-
P D Pandya Mahila Commerce College, ,Gujarat,-,-,-
"P E S College Of Nursing , Chittoor",CHITOOR ,Andhra Pradesh,-,-,-
"P E S Institute Of Medical Sciences and Research, Kuppam", ,Andhra Pradesh,"08570-257260,256736,256055,256666","pesmed2007@yahoo.com,pes.kuppam@gmail.com",www.pes.edu
P E S Polytechnic, ,Karnataka,080-26600648,-,-
P E S Polytechnic Evening College, ,Karnataka,080-26600648,admissions@pes.edu,http://pesit.pes.edu
"P E S School Of Nursing , Kuppam",KUPPAM ,Andhra Pradesh,"+918570256655,9449867810",info@pes.edu,www.pes.edu
"P E T Polytechnic, Guledagudd", ,Karnataka,08354250493,-,-
P G College Godwal,MAHABUBNAGAR ,Andhra Pradesh,-,-,-
P G College Medak,MEDAK ,Andhra Pradesh,-,-,-
P G College Mehboobnagar,MAHABUBNAGAR ,Andhra Pradesh,-,-,-
P G College Mirzapur,MEDAK ,Andhra Pradesh,-,-,-
P G College Nalgonda,NALGONDA ,Andhra Pradesh,-,-,-
P G College Nizamabad,NIZAMABAD ,Andhra Pradesh,-,-,-
"P G College Of Nursing , Durg",DURG ,Chhattisgarh,0788-2241753,-,-
P G College Osmania University,HYDERABAD ,Andhra Pradesh,-,-,-
P G College Science,HYDERABAD ,Andhra Pradesh,23393530,-,-
P G College Siddipet,SIDDIPET ,Andhra Pradesh,-,-,-
P G College Vikrabad,RANGAREDDY ,Andhra Pradesh,-,-,-
"P G P College Of Nursing & Research ,Namakkal",NAMAKKAL ,Tamil Nadu,-,-,-
"P G P College Of Nursing , Namakkal",NAMAKKAL ,Tamil Nadu,-,-,-
P G P INSTITTUTE OF TEACHERE TRAINING, ,Tamil Nadu,-,-,-
P G P Polytechnic College, ,Tamil Nadu,04286267289,pgpptc@yahoo.co.in,www.pgpedu.ac.in
"P G School Of Nursing , Hassan",HASSAN ,Karnataka,-,-,-
"P G School Of Nursing ,Malappuram",MALAPPURAM ,Kerala,-,-,-
"P Gee Varghese School Of Nursing , Kottayam",KOTTAYAM ,Kerala,-,-,-
P Indra Reddy Memorial Engineering College, ,Andhra Pradesh,08417-203122,manisha_pirm@yahoo.com,http://www.pirmec.com/
P K Roy Memorial College, ,Jharkhand,-,-,-
"P K Technical Campus, Pune", ,Maharashtra,02135-619100,info@pkgroup.edu.in,http://www.pkinstitute.edu.in
P L Singh College, ,Bihar,-,-,-
P M S College, ,Bihar,-,-,-
"P M S School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"P N C & K R College Of Nursing,GUNTUR",GUNTUR ,Andhra Pradesh,-,-,-
