R .V.S. College of Engineering and Technology (M.B.A), ,Tamil Nadu,04551-227229,rvscet.dgl@rvsgroup.com,www.rvseng.ac.in
"R A S School Of Nursing , Jaunpur",JAUNPUR ,Uttar Pradesh,-,-,-
"R A S School Of Nursing , Jaunpur",JAUNPUR ,Uttar Pradesh,-,-,-
"R A Vysya College, Madurai",MADURAI ,Tamil Nadu,-,-,-
R B College, ,Bihar,-,-,-
R B G R College, ,Bihar,-,-,-
"R B Memorial School Of Nursing , Darbhanga",DARBHANGA ,Bihar,-,info@rbmschoolofnursing.com,-
"R B Nursing And Para Medical Institution , Kathua",KATHUA ,Jammu and Kashmir,-,-,-
R B S College, ,Bihar,-,-,-
R B S College Bihar, ,Bihar,-,-,-
R B Sagar College Education, ,Gujarat,-,-,-
R B V R R Women'S College, ,Andhra Pradesh,"27564660,27564269",info@rbvrrwomenscollege.net,http://rbvrrwomenscollege.net/
R C College of Commerce, ,Gujarat,-,-,-
"R C Memorial College Of Nursing,Pali", ,Rajasthan,-,-,-
"R C Memorial Nursing Institute,Pali", ,Rajasthan,-,-,-
"R C Memorial Nursing Institute,Pali", ,Rajasthan,-,-,-
"R C Memorial Post Basic Nursing College ,Pali", ,Rajasthan,-,-,-
R C S S College, ,Bihar,-,-,-
R D D J College, ,Bihar,-,-,-
"R D Memorial College Of Nursing , Bhopal",BHOPAL ,Madhya Pradesh,"+91755-2696634,2696776",contact@rdmnursingcollege.com,www.rdmnursingcollege.org
"R D Memorial College Of Nursing , Indore",INDORE ,Madhya Pradesh,-,-,-
"R D Memorial School Of Nursing , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
"R D Memorial School Of Nursing , Indore",INDORE ,Madhya Pradesh,-,-,-
R D S College, ,Bihar,-,-,-
"R D T School Of Nursing , Bathalapalli",BATHALAPALLI ,Andhra Pradesh,08559-244413,-,-
R E S E T College Education, ,Jammu and Kashmir,-,-,-
R G Baruah College, ,Assam,-,-,-
"R G Kar Medical College Hospital , Calcutta",KOLKATA ,West Bengal,-,-,-
"R G M College Of Nursing,Jodhpur",JODHPUR ,Rajasthan,-,-,-
R G Shah Science College, ,Gujarat,-,-,-
R G Teachers College, ,Gujarat,-,-,-
R H Patel Arts Commerce College, ,Gujarat,-,-,-
"R I T E E College Of Nursing,Raipur",RAIPUR ,Chhattisgarh,-,-,-
R J S Polytechnic, ,Karnataka,"080-25529873,25533650,25534194",-,-
R K College Bihar, ,Bihar,-,-,-
R K College of Engineering, ,Andhra Pradesh,"08659-282956,66,67,+919177225528/27",rkcevza@gmail.com,http://www.rkce.in/
"R K College Of Nursing,Bellary",BELLARY ,Karnataka,-,-,-
"R K D F College Of Nursing , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
"R K D F School Of Nursing,Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
"R K M School Of Nursing , Bijapur",BIJAPUR ,Karnataka,-,-,-
R K Mahila College, ,Jharkhand,-,-,-
R K S D College, ,Haryana,-,-,-
R K SAMY COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
R L College, ,Bihar,-,-,-
"R L D Nursing School,Bhind",BHIND ,Madhya Pradesh,-,-,-
R L Jalappa Institute of Technology, ,Karnataka,080?7625381,rljit_engg@rediffmail.com,www.rljit.org
"R L Nursing College , Morena", ,Madhya Pradesh,-,-,-
"R L Nursing College For Post Basic Bsc In Nursing , Morena", ,Madhya Pradesh,-,-,-
R L S Y College, ,Bihar,-,-,-
R L S Y College Bihar, ,Bihar,-,-,-
"R L School Of Nursing , Morena", ,Madhya Pradesh,-,-,-
"R M L School Of Medical Sciences & Hospital , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
R M P C S I P S K RAJA COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"R M Polytechnic, Gulburga", ,Karnataka,-,-,-
R Mishra College, ,Bihar,-,-,-
R N A R College, ,Bihar,-,-,-
R N College, ,Bihar,-,-,-
R N College Bihar, ,Bihar,-,-,-
R N Institute of Poly. Studies, ,Rajasthan,01596-244955,mridulkatewa@gmail.com,-
"R N S College Of Nursing ,Uttara Kannada",BHATKAL ,Karnataka,-,-,-
"R N S College Of Nursing,Bhatkal",BHATKAL ,Karnataka,-,-,-
"R N S Nursing School , Cuttara Kannada", ,Karnataka,-,-,-
R N Shetty Polytechnic, ,Karnataka,-,-,-
"R N Shetty Polytechnic, Belgaum", ,Karnataka,08384-236961,rnshetty_polytechnic@yahoo.co.in,http://www.rnshetty-polytechnic.org
"R N T Medical College, Udaipur",UDAIPUR ,Rajasthan,"0294-2523613,2418258",iaecon@sancharnet.in,www.rntgoldfest.com
"R P Inderaprastha Institute Of Medical Sciences,Karnal",KARNAL ,Haryana,-,-,-
R P S College, ,Bihar,-,-,-
R P S College, ,Bihar,-,-,-
"R P Sharma Institute Of Technology, Patna", ,Bihar,0612-3254248,info@rpsit.org.in,http://www.rpsit.org.in/
"R R Christian College Of Nursing,Kurnool",KURNOOL ,Andhra Pradesh,-,-,-
"R R Christian School Of Nursing , Nandyal",NANDYAL ,Andhra Pradesh,"08518-230251,09440289937,09440635871.",-,www.rrchristiancollegeofnursing.com
"R R College Of Nursing,Ajmer",AJMER ,Rajasthan,-,-,-
"R R College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"R R College Of Nursing ,Jaipur",JAIPUR ,Rajasthan,-,-,-
"R R College Of Nursing,Ajmer",AJMER ,Rajasthan,-,-,-
R R D ED COLLEGE, ,Karnataka,-,-,-
"R R Institute Of Nursing ,Jaipur",JAIPUR ,Rajasthan,-,-,-
R R Lalan College, ,Gujarat,-,-,-
R R M College Science C L P College Commerce G D Modi College, ,Gujarat,-,-,-
R R Mehta College Science And Chhattishgarh Parek College Commerce, ,Gujarat,-,-,-
"R R Nursing Institute, Ajmer",AJMER ,Rajasthan,-,-,-
"R R Nursing School , Gurgaon",GURGAON ,Haryana,"0124-3217778,0124-3213079",-,-
"R R Patil Institute Of Nursing Education,Sangli",SANGLI ,Maharashtra,-,-,-
R R S College, ,Bihar,-,-,-
"R R School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"R R School Of Nursing,Gurgaon",GURGAON ,Haryana,-,-,-
"R S C College Of Nursing , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
"R S C School Of Nursing , Gwalior",GWALIOR ,Madhya Pradesh,-,-,-
"R S C School Of Nursing, Balaghat", ,Madhya Pradesh,-,-,-
R S College Bihar, ,Bihar,-,-,-
"R S College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
"R S K School Of Nursing , Trichy",TRICHY ,Tamil Nadu,-,-,-
R S Mahavidyalaya, ,Bihar,-,-,-
R S More College, ,Jharkhand,-,-,-
R S P College, ,Jharkhand,-,-,-
R S S Mahila College, ,Bihar,-,-,-
"R T Nagar School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"R V College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
"R V S College Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
"R V S College Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
"R V S Schoolof Nursing, , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
R V TEACHERS TRAINING INSTITUTION, ,Karnataka,-,-,-
R V V Mahila College, ,Bihar,-,-,-
"R. C. M. Hospital,Eranakulam",ERNAKULAM ,Kerala,-,-,-
R. C. Patel Institute of Technology,DHULE ,Maharashtra,(02563)-259600,registrar_rcpit@yahoo.com,www.rcpit.ac.in
R. E. Societys Shriman Bhagjsheths Keer Law College Late Sou. Indirabai Vishnupanth,RATNAGIRI ,Maharashtra,"02352-221545,222552(R)9822580621(M)",-,-
R. K. College Of Diploma Engineering, ,Gujarat,+91-9909952030/31,info@rku.ac.in,http://www.rku.ac.in
R. L. Law College,DAVANAGERE ,Karnataka,"08192-250237,08192-225059","rllcdvg@sancharnet.in,rllc_dvg@yahoo.com",-
R. R. B.ED COLLEGE P.K.M. TRUST (R), ,Karnataka,-,-,-
R. S. Banaras Law College,VARANASI ,Uttar Pradesh,0542-2575335,-,-
R. Sankar Memorial S.N.D.P. Yogam Arts & Science College,KOZHIKODE ,Kerala,"0496-2210354,0496-3091863",-,-
R. T. E. Societys Law College,HAVERI ,Karnataka,08373-290640,-,www.rteslawcollege.in
R. V. Institute of Management, ,Karnataka,"080-42540300,080-26547048",contact@rvim.in,http://www.rvim.in
R.A. Podar College Of Commerce & Economics, ,Maharashtra,-,-,-
R.B. Attal Arts Science & Commerce College, ,Maharashtra,-,-,-
R.B. INSTITUTE OF MANAGEMENT STUDIES,AHMEDABAD ,Gujarat,"079-2272892,22774650",rbims.2007@gmail.com,-
R.B. Narayanrao Borawake College, ,Maharashtra,-,-,-
R.B.A.N.M.S. First Grade College, ,Karnataka,-,-,-
R.B.D. Mahila Mahavidyalaya, ,Uttar Pradesh,-,-,-
R.B.Degree College, ,Uttar Pradesh,-,-,-
R.B.DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
R.B.Institute of Management Studies, ,Gujarat,+9107922771300,info@rbi.edu.in,http://www.rbi.edu.in/
R.B.M T T I, ,Kerala,-,-,-
R.B.S. COLLEGE, ,Uttar Pradesh,-,-,-
R.B.S. COLLEGE, ,Uttar Pradesh,-,-,-
R.B.T. COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
R.B.T. JUNIOR COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
R.B.T.S. Govt. Homoeopathic Medical College,MUZAFFARPUR ,Bihar,-,-,-
"R.B.U.S.S Ravi Institute of Diploma in Pharmacy , Nagpur",NAGPUR ,Maharashtra,-,ridp@indiatimes.com,-
R.C. Institute of Technology, ,Delhi,"011-28015971,28011304",rcit_te@rediffmail.org,www.rcitindia.org.in
R.C. INSTITUTE OF TECHNOLOGY, ,Delhi,-,-,-
R.C. Jall Law College,MOHOW ,Madhya Pradesh,-,-,-
R.C. MEMORIAL TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
R.C. Patel Arts Commerce And Science College, ,Maharashtra,-,-,-
R.C. Patel B. Pharmacy College, ,Maharashtra,-,-,-
R.C. Saharia Teacher's Training College, ,Assam,-,-,-
R.C. TEACHER TRAINING COLLEGE, ,Himachal Pradesh,-,-,-
R.C. TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
R.C. TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
R.C.A. Girls Degree College, ,Uttar Pradesh,-,-,-
R.C.C INSTITUTE OF TECHNOLOGY, ,West Bengal,033-23232463/3357/2400,campus@rcciit.in/rcciit@dataone.in,www.rcciit.com/www.rcciit.in
R.C.M. Science College, ,Orissa,-,-,-
R.C.M. TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
R.C.N.C TEACHER TRAINING INSTITUTE, ,Karnataka,-,-,-
R.C.R. INSTITUTE OF MANAGEMENT TECHNOLOGY,TIRUPATI ,Andhra Pradesh,-,-,-
R.D Engineering College,GHAZIABAD ,Uttar Pradesh,0120-3226926,rdenggc@yahoo.com,-
R.D. COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
R.D. Kedia Homoeopathic Medical College,MOTIHARI ,Bihar,-,-,-
R.D. MEMORIAL COLLEGE OF PHYSICAL EDUCATION, ,Madhya Pradesh,"+917552696776,9303133077",-,www.rdmphyeducollege.org
R.D. MEMORIAL COLLEGE OF PHYSICAL EDUCATION, ,Madhya Pradesh,-,-,-
R.D. National & W.A. Science College, ,Maharashtra,-,-,-
R.D. R.B. DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
R.D. Womens Degree College,HANAMAKONDA ,Andhra Pradesh,-,-,-
R.D.B COLLEGE OF EDUCATION, ,Tamil Nadu,(04374)-221267/222312/222123.,-,-
R.D.B. INSTITUTE OF MANAGEMENT,THANJAVUR ,Tamil Nadu,-,-,-
R.D.R.B. MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
R.D.S. Mahavidyalaya, ,Orissa,-,-,-
R.D.S.N.D. Government Degree College, ,Uttar Pradesh,-,-,-
R.D.TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
R.E. Societys Shriman Bhagojisheth Keer Law College,RATNAGIRI ,Maharashtra,-,-,-
R.G. Kar Medical College, ,West Bengal,-,principal_rgkarmch@rediffmail.com,-
R.G. KESIA COLLEGE OF COMMERCE,HYDERABAD ,Andhra Pradesh,24023713,-,-
R.G. MISHRA TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
R.G.E. SOCIETYS, ,Karnataka,-,-,-
R.G.R Siddhanthi College, ,Andhra Pradesh,040-27847370,rgrs24@reddfmail.com,-
R.G.R. Siddhanthi Degree College,SECUNDERABAD ,Andhra Pradesh,"27847370,26215958",rgrs@rediffmai.com,-
"R.H. Patel Institute of Technology,Goblaj", ,Gujarat,+91-2694-277799,	rhpit_polytechnic@yahoo.co.in,http://www.rhpitgoblaj.org
