S A Jain College, ,Haryana,-,-,-
"S A K Memorial Institute Of Nursing, Chhindwara", ,Madhya Pradesh,-,-,-
S A Polytechnic College, ,Tamil Nadu,"044-26800666,044-26800444,0000000000",	sapolytechniccollege@yahoo.com,-
"S A S School Of Nursing, Varanasi",VARANASI ,Uttar Pradesh,-,-,-
"S A S School Of Nursing, Varanasi",VARANASI ,Uttar Pradesh,-,-,-
S B College Bihar, ,Bihar,-,-,-
"S B College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
S B D Government College, ,Rajasthan,-,-,-
S B Garda College Arts And P K Patel College Commerce, ,Gujarat,-,-,-
"S B Jain Institute of Technology,Management & Research", ,Maharashtra,"(91)-(712)?2667777,3222960",principal@sbjit.edu.in,www.sbjit.edu.in
S B M S College, ,Assam,-,-,-
"S B S College Of Nursing , Ferozepur",FIROZPUR ,Punjab,-,-,-
"S B S Institute Of Nursing , Amritsar",AMRITSAR ,Punjab,-,-,-
"S B S School Of Nursing , Ferozepur",FIROZPUR ,Punjab,-,-,-
"S B School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
S C A Patel Arts College, ,Gujarat,-,-,-
S C N R Government College,CUDDAPAH ,Andhra Pradesh,08564–251034,scnrcollege@yahoo.co.in,-
"S C P M College Of Nursing & Paramedical Sciences , Gonda", ,Uttar Pradesh,-,-,-
"S C S College Of Nursing Sciences , Mangalore",MANGALORE ,Karnataka,-,-,-
"S C S College Of Nursing Sciences , Mangalore",MANGALORE ,Karnataka,-,-,-
"S C S Institute Of Nursing Sciences , Mangalore",MANGALORE ,Karnataka,-,-,-
"S C T College Of Nursing, Bangalore",BANGALORE ,Karnataka,-,-,-
"S Chandra Girls Nursing College,Gondia", ,Maharashtra,-,-,-
S D Arts Shah B R Commerce College, ,Gujarat,-,-,-
S D College, ,Haryana,-,-,-
S D G S College,HINDUPUR ,Andhra Pradesh,08556–220316,-,-
"S D Jayaram School Of Nursing , Mandya",MANDYA ,Karnataka,-,-,-
"S D M College Of Nursing , Dharwad",DHARWAD ,Karnataka,-,-,-
