"T & T V School Of Nursing , S D V S Ashaktashram Hospital, Surat",SURAT ,Gujarat,-,-,-
T B D S Janta College, ,Bihar,-,-,-
T D Abdul Khadar College For Women Ramanathapuram,RAMANATHAPURAM ,Tamil Nadu,-,-,-
"T D Institute Of Professional Studies ,Rewa",REWA ,Madhya Pradesh,-,-,-
"T D Medical College, Alleppey Allappuzha", ,Kerala,0477-282611/282015,tdmcalpy@md5.vsnl.net.in,www.keralauniversity.edu
T H B College, ,Assam,-,-,-
T J P S College,GUNTUR ,Andhra Pradesh,"0863–2230852,2224016",tjpscollege@yahoo.com,-
T J S Polytechnic College, ,Tamil Nadu,"9894936115,044-27967620",	tjspolytechniccollege@gmail.com,www.tjspc.in
"T John College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
T John Institute Of Technology, ,Karnataka,+918028429126/624/65,-,www.tjohnit.com
"T John Institute of Technology, Bangalore", ,Karnataka,"+918025597817,25092057",-,http://www.tjohnit.com
"T John School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"T John School Of Nursing , Gulbarga",GULBARGA ,Karnataka,-,-,-
T K R College of Engineering and Technology, ,Andhra Pradesh,04065347536,tkrec@rediffmail.com,http://tkrec.ac.in
"T K R College Of Nursing , Hyderabad",HYDERABAD ,Andhra Pradesh,-,-,-
"T M A E S School Of Nursing , Bellary",BELLARY ,Karnataka,-,-,-
T M A E Society Polytechnic, ,Karnataka,08282-266348,-,-
"T M A E Societypolytechnic, Hospet", ,Karnataka,08394-265097,-,-
"T M M College Of Nursing , Pathanamthitta",PATHANAMTHITTA ,Kerala,-,-,-
"T M M College Of Nursing , Pathanamthitta",PATHANAMTHITTA ,Kerala,-,-,-
"T M S School Of Nursing ,Sheopur", ,Madhya Pradesh,-,-,-
T N B College, ,Bihar,-,-,-
T P College, ,Bihar,-,-,-
T P E V R Govt. Polytechnic College, ,Tamil Nadu,"0416-2266266,0416-2264265,9445721146",tpevr109@gmail.com,tpevrgpcvlr.org
T P S College, ,Bihar,-,-,-
T P V College, ,Bihar,-,-,-
T R Girls College, ,Haryana,-,-,-
T R R Government Degree College,KANDUKUR ,Andhra Pradesh,"08598–223546,232996",-,-
T S Bhama College, ,Bihar,-,-,-
T S Srinivasan Center For Polytechnic College And Advanced T, ,Tamil Nadu,"04424764393,04424764394,	9940079611",cvat@dataone.in,www.cpat-tvs.org
T V M COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
