"U C A Institute Of Nursing, ,Chennai",CHENNAI ,Tamil Nadu,-,-,-
U N Mehta Arts College, ,Gujarat,-,-,-
U R College, ,Bihar,-,-,-
U S P COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
U. V. Patel Engineering College,MEHSANA ,Gujarat,"02762-286081,286650",principal.uvpce@ganpatuniversity.ac.in,www.uvpce.ac.in
"U.B.K.W.T.D. Pharmacy College , Aurangabad",AURANGABAD ,Maharashtra,"+91(02435)213320,213423,213447",ubkwt_ph@rediffmail.com,www.ubkwtdpharmcollege.org
U.C.A. College of Physiotherapy,CHENNAI ,Tamil Nadu,-,-,-
U.C.A. INSTITUTE OF TEACHER TRAINING, ,Tamil Nadu,-,-,-
U.G. Smuruti Mahavidyalaya, ,Orissa,-,-,-
U.N.S. College, ,Orissa,-,-,-
U.P. Institute for the Hearing Handicapped,ALLAHABAD ,Uttar Pradesh,-,-,-
U.P. Rajarshi Tandon Open University, ,Uttar Pradesh,0532-2447035,info@bietjhs.ac.in,www.uprtou.ac.in
"U.P. Rural Institute of Medical Sciences & Research, Etawah", ,Uttar Pradesh,05688-276565,prabhu4903@yahoo.com,-
"U.P. Rural Institute of Medical Sciences Research, Etawah", ,Uttar Pradesh,05688-276563,rimsnrsaifai@gmail.com,www.rimsnr.ac.in
U.S.P. Polytechnic College, ,Tamil Nadu,"04633-294449,9750880218",usppoly@gmail.com,www.uspacedamy.com
"U.V.K. Gautham College of Pharmacy , Bangalore",BANGALORE ,Karnataka,-,-,www.gauthamcollege.org
Udai Institute of Management Studies, ,Rajasthan,0141-3963600,"admission.uims@gmail.com,uims.info@gmail.com",http://www.uims.edu.in
Udai Pratap College, ,Uttar Pradesh,-,-,-
UDAI PRATAP COLLEGE, ,Uttar Pradesh,09415624993,principalupc@gmail.com,http://www.upcollege.org
"Udaipur College Of Nursing,Udaipur",UDAIPUR ,Rajasthan,-,-,-
"Udaipur Institute Of Nursing,Udaipur",UDAIPUR ,Rajasthan,-,-,-
"Udaipur Institute Of Nursing,Udaipur",UDAIPUR ,Rajasthan,-,-,-
"Udaipur Post Basic Nursing College , Udaipur",UDAIPUR ,Rajasthan,-,-,-
Udala College, ,Orissa,-,-,-
Udalguri College,DARRANG ,Assam,-,-,-
UDASINACHARYA JAGAT GURU SHREE CHAND JI MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
"Uday Degree College, Vizianagaram",VIZIANAGARAM ,Andhra Pradesh,-,-,-
UDAYA COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
Udaya Polytechnic College,TIRUVALLUR ,Tamil Nadu,-,-,-
"Udaya Polytechnic College,Kanyakumari", ,Tamil Nadu,04651239910,udayapoly@gmail.com,www.sunedu.ac.in
Udaya School of Engineering,KANYAKUMARI ,Tamil Nadu,"04651239900,239901,239902",udayengg@sunedu.ac.in,http://www.sunedu.ac.in
Udayanath College Of Science & Technology, ,Orissa,-,-,-
Udayanath College of Science & Technology, ,Orissa,0671-2805409,-,http://www.udayanathcollege.org/
Udhayam Polytechnic College, ,Tamil Nadu,"04573291129,04573291072,9659633440",	udhayamcaps_poly@yahoo.com,-
Udit Narain Degree College, ,Uttar Pradesh,-,-,-
Udit Narain Rishav Mahavidyalaya, ,Uttar Pradesh,-,-,-
UDUPI COLLEGE OF EDUCATION, ,Karnataka,-,-,-
"Udupi College Of Nursing , Udupi",UDUPI ,Karnataka,-,-,-
"Udupi Dhanvanthari College Of Nursing ,Udupi",UDUPI ,Karnataka,-,-,-
Udyog College of Education, ,West Bengal,-,-,-
UEI Global Education, ,Delhi,44151515,-,http://www.uei-global.com
Uhuberia College, ,West Bengal,-,-,-
Ujani Majuli Kherkatia College, ,Assam,-,-,-
UJAS TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
Ujjain Engineering College,UJJAIN ,Madhya Pradesh,0734-2511912,Dr.c.k.jain@gmail.com,www.uecu.org.in
Ujwal Gramin Mahavidyalaya, ,Maharashtra,-,-,-
UJWAL VIDYA SAMSTE(R) GURUNARAYAN D.ED COLLEGE, ,Karnataka,-,-,-
Ujwala Degree College,NALGONDA ,Andhra Pradesh,-,-,-
UKA Tarsadia University, ,Gujarat,"+912625290020,+912625290074",ceo@utu.ac.in,http://utu.ac.in/
Uklana Polytechnic & Engineering College, ,Haryana,01693-23333,-,-
ULTRA College of Engineering and Technology for Women, ,Tamil Nadu,"0452-2422057,2422056",principal@ucetw.ac.in,http://www.ucetw.ac.in
"Ultra College of Pharmacy , Thasildar Nagar",MADURAI ,Tamil Nadu,"+91-452-2534593,2534701",ultratrust_pharmacy@rediffmail.com,www.ultracollegeofpharmacy.ac.in
Uluberia College, ,West Bengal,-,-,-
Uma Arts Nathiba Commerce Mahila College, ,Gujarat,-,-,-
"Uma Charan Pattnaik Engineering School , Berhampur", ,Orissa,-,-,-
UMA Educational and Technical Society,KAKINADA ,Andhra Pradesh,-,-,-
"Uma Institute Of Nursing Education,Sangli",SANGLI ,Maharashtra,-,-,-
"Uma Maheswara School Of Nursing , Raichur",RAICHUR ,Karnataka,-,-,-
Uma Nath Singh Vidhi Mahavidyalaya,BAREILLY ,Uttar Pradesh,-,-,-
UMA SHIKSHAK PRASHIKSHAN MAHAVIDYALAYA, ,Rajasthan,-,-,-
UMA SHIV MEMORIAL TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
"Umaid Hospital, , School Of Nursing, Jodhpur,",JODHPUR ,Rajasthan,-,-,-
"Umalok Health Worker Training Centre,Meerut",MEERUT ,Uttar Pradesh,-,-,-
UMAMAHESWARANAR COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
Umang Red Cross Institute of Special Education,FARIDKOT ,Punjab,"01639-252515,+919888946428",an72su@gmail.com,-
UMER BIN KHATTAB WELFARE TRUST, ,Maharashtra,-,-,-
Umesh Chandra College, ,West Bengal,-,-,-
UMIYA KANYA SHIKSHA MAHAVIDHYALAYA, ,Madhya Pradesh,-,-,-
UMRED SHIKSHAN MAHAVIDYALAYA, ,Maharashtra,-,-,-
Umrer College of Engineering, ,Maharashtra,(0712)-2283543/2283815,chandrahas_handa@rediffmail.coom,www.ucoe.org.in
Umrer Polytechnic, ,Maharashtra,247062,principal.upu@gmail.com,www.umrerpoly.org
Umshyrpi College, ,Meghalaya,-,-,-
Uni Trust Surajba Mahila Arts College, ,Gujarat,-,-,-
Union Christian College, ,Karnataka,-,-,-
Union Christian College,ALWAYE ,Kerala,0484-2606033/2603533,uccmca@md3.vsnl.net.in,www.mcaucc.org
Union Christian College, ,Meghalaya,-,-,-
Union Christian Training College, ,West Bengal,-,-,-
Union Christian Training College, ,West Bengal,-,-,-
UNION TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
Unique College of Law,MORADABAD ,Uttar Pradesh,"0591-3201112,09412246012",-,-
Unique Institute Of Management, ,Uttar Pradesh,"01232-254800,230273",uimt079@yahoo.co.in,-
Unique Institute of Management, ,Maharashtra,020-26961995,-,http://uimpune.org
UNIQUE INSTITUTE OF MANAGEMENT & TECHNOLOGY, ,Uttar Pradesh,-,-,-
Unique Law College,GHAZIABAD ,Uttar Pradesh,-,uc.law@rediffmail.com,-
Unison Law College,DEHRADUN ,Uttaranchal,0135-2743310-12,usl@usl.edu.in,www.usl.edu.in
Unison School of Law,DEHRADUN ,Uttaranchal,"0135-2743310,0135-2743311,0135-2743312",usl@imsindia.org,-
"United Christian School Of Nursing , Jalandhar",JALANDHAR ,Punjab,-,-,-
United College, ,Manipur,-,-,-
United College of Engineering & Research  Noida, ,Uttar Pradesh,"0120-2322208,09",greaternoida@unitedcollege.com,www.unitedcollege.com
United College of Engineering & Research.,ALLAHABAD ,Uttar Pradesh,"0532-2686070,2686090",info@unitedcollege.com,www.unitedcollege.com
United College of Engineering and Research, ,Uttar Pradesh,9953641994,-,united.ac.in
UNITED EDUCATION SOCIETY, ,Haryana,-,-,-
UNITED EDUCATION SOCIETY, ,Haryana,-,-,-
UNITED INSTITUTE OF MANAGEMENT, ,Uttar Pradesh,0120-2322208-09,greatnoida@unitedcollege.com,http://www.united.ac.in/
"UNITED INSTITUTE OF MANAGEMENT, ALLAHABAD",ALLAHABAD ,Uttar Pradesh,"0532-2686070,2686090",info@unitedcollege.com,-
