V - TECH. INSTITUTE OF INTEGRATED TECHNOLOGY, ,Uttar Pradesh,-,-,-
V B Women College, ,Jammu and Kashmir,-,-,-
"V G School Of Nursing , Coimbatore",COIMBATORE ,Tamil Nadu,-,-,-
"V I P School Of Nursing , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
V J P Catering And Hotel Management, ,Tamil Nadu,"0431-2650294,0431-6525793,9894565449",vjp_college@rediffmail.com,www.vjpcollege.net
V K P Polytechnic College, ,Tamil Nadu,"04633-242444,04633-245000,9842075719",	vkppc857@gmail.com,-
V K S College of Engineering and Technology, ,Tamil Nadu,04323-291173,vksedu@yahoo.in,http://www.vkscet.org/
V K V Government Degree College,KOTHAPETA ,Andhra Pradesh,08855–243440,-,-
"V L M College Of Nursing & Allied Health Sciences,Allahabad",ALLAHABAD ,Uttar Pradesh,-,-,-
"V L M College Of Nursing And Allied Health Sciences ,Allahabad",ALLAHABAD ,Uttar Pradesh,-,-,-
"V M S College Of Nursing , Gurdaspur",GURDASPUR ,Punjab,-,-,-
"V M S Institute Of Nursing & Paramedical Sciences , Gurdaspur",GURDASPUR ,Punjab,-,-,-
V N S B Ltd Arts And Commerce College, ,Gujarat,-,-,-
"V N S S College Of Nursing , Kollam",KOLLAM ,Kerala,-,-,-
V N T TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
"V P M M College Of Nursing , Virudhunagar",VIRUDUNAGAR ,Tamil Nadu,-,-,-
V R College,NELLORE ,Andhra Pradesh,"0861–2336464,322226",-,-
V R S Degree College,CUDDAPAH ,Andhra Pradesh,"08563–270368,270455",-,-
V R S Y R N College,CHIRALA ,Andhra Pradesh,"08594–232334,232227,236292",-,-
V Ramakrishna Polytechnic College, ,Tamil Nadu,"044-25733126,044-25735061,9840955098","admin@vrpcollege.com,vrptcollege@gmail.com",vrpcollege.com
"V S Alwar Nursing Institute,Alwar",ALWAR ,Rajasthan,-,-,-
"V S Alwar Nursing Institute,Alwar",ALWAR ,Rajasthan,-,-,-
"V S Educational Trust, School Of Nursing , Salem",SALEM ,Tamil Nadu,-,-,-
"V S General Hospital , School Of Nursing,Thane",THANE ,Maharashtra,-,-,-
V S J College, ,Bihar,-,-,-
V S M College,RAMACHANDRAPURAM ,Andhra Pradesh,"08851–242328,242309",vsmcol@sancharnet.in,-
"V S P M College Of Nursing & Research Centre , Nagpur",NAGPUR ,Maharashtra,-,-,-
"V S P Ms College Of Nursing & Research Centre , Nagpur",NAGPUR ,Maharashtra,-,-,-
V S Patel College Arts Science, ,Gujarat,-,-,-
V S R N V R College,GUNTUR ,Andhra Pradesh,"08644–226961,223388",vsrnvr@sancharnet.in,-
"V S S College Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
"V S S Medical College Hospital , School Of Nursing, Sambalpur",SAMBALPUR ,Orissa,-,-,-
"V S S School Of Nursing , Bangalore",BANGALORE ,Karnataka,-,-,-
V S TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
V S V Nadar Polytechnic College, ,Tamil Nadu,"04562280173,04562280873,9367410052",vsvnpoly@gmail.com,vsvnpolytechnic.in
V T Choksi Sarvjanik College Education, ,Gujarat,-,-,-
V T Choksi Sarvjanik College Education, ,Gujarat,-,-,-
V T J M K T R Degree College,MAGALAGIRI ,Andhra Pradesh,"08645–232501,232889",-,-
V V College of Engineering, ,Tamil Nadu,"04637?273213,273312-15",info@vvcoe.org,www.vvcoe.org
V V M Degree College,ONGOLE ,Andhra Pradesh,"08592–234016,244564",-,-
"V V M School Of Nursing , Bhopal",BHOPAL ,Madhya Pradesh,-,-,-
"V V Vanniaperumal Nursing College For Women , Virudhunagar",VIRUDUNAGAR ,Tamil Nadu,-,-,-
V-Excel Educational Trust,CHENNAI ,Tamil Nadu,-,-,-
V-TECH INSTITUTE OF INTEGRATED TECHNOLOGY, ,Uttar Pradesh,-,-,-
V. M. S. College of Law,GURDASPUR ,Punjab,"01871-225900,01871-205580",-,-
V. P. Mandals Thane Municipal Councils Law College,THANE ,Maharashtra,5364194,-,-
