W.K. Bhagini Seva Mandals Arts & Commerce College For Women, ,Maharashtra,-,-,-
"Wagad G N M Nursing School ,Udaipur",UDAIPUR ,Rajasthan,-,-,-
Waghire College of Arts Science and Commerce, ,Maharashtra,-,-,-
Wai Akshar Institute,SATARA ,Maharashtra,02162-220426/220917-18,-,-
Waikhom Mani Girls College, ,Manipur,-,-,-
WAIN GANGA COLLEGE OF PHYSICAL EDUCATION, ,Maharashtra,-,-,-
Wainganga College of Engineering and Management, ,Maharashtra,07103202007,-,www.wcem.in/‎
Walchand College of Arts and Science, ,Maharashtra,-,-,-
Walchand College of Engineering,SANGLI ,Maharashtra,(020)O-25440995,coea@sancharnet.in,-
Walchand Institute of Technology, ,Maharashtra,-,-,-
Wali Institute of Teachers Education, ,West Bengal,9831497388,witeducation@gmail.com,http://www.witeducation.org
"Wamanrao Ithape Nursing School,Ahmednagar",AHMEDNAGAR ,Maharashtra,-,-,-
Wanaparthy College Of Computer & Mgt, ,Andhra Pradesh,08545232366,-,http://gdcts.cgg.gov.in/wanaparthywomen.edu
WARANGAL INSTITUTE OF MANAGEMENT,WARANGAL ,Andhra Pradesh,0870-2524138,warangal@itm.edu,www.itm.edu
WASEEM TURKI MUSLIM DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Watumull Institute of Electronic Engineering and Computer Technology,MUMBAI ,Maharashtra,(022)-22024361/22840095,watumull@hathway.com,www.watumull.edu
"We Care Nursing College,Surguja", ,Chhattisgarh,-,-,-
"We Care Nursing School,Surguja", ,Chhattisgarh,-,-,-
Weeta College Education, ,Jammu and Kashmir,-,-,-
Weeta College of Education, ,Jammu and Kashmir,"1931-260345,233084,941901598,9419004002",-,-
"Welcare College Of Nursing , Ernakulam",ERNAKULAM ,Kerala,-,-,-
Welcome Group Graduate School of Hotel Administration (WGSHA), ,Karnataka,+91-0820-2571101Extn:1247and1248,pg.wgsha@manipal.edu,http://www.manipal.edu/home/pages/welcome.aspx
"Welfare Association for the Disabled, Institute of Special Education & Disability Management",INDORE ,Madhya Pradesh,-,-,-
"Welfare Institute Of Nursing & Midwifery , Bharuch",BHARUCH ,Gujarat,-,-,-
"Welfare Institute Of Nursing And Midwifery , Bharuch",BHARUCH ,Gujarat,"(02642)241044,244881",-,-
"WELINGKAR INSTITUTE OF MANAGEMENT DEVELOPMENT & RESEARCH, MUMBAI",MUMBAI ,Maharashtra,91-22-24178300,"pgdbadlp@welingkar.org,autonomous@welingkar.org",www.welingkar.org
WESLEY BOYS PG COLLEGE,SECUNDERABAD ,Andhra Pradesh,-,contact@wesleypgcollege.com,-
Wesley Degree College Coeducation,SECUNDERABAD ,Andhra Pradesh,27721674,-,-
Wesley Degree College For Women,SECUNDERABAD ,Andhra Pradesh,-,csimdwdc@yahoo.co.in,-
West Bengal National University of Juridical Science, ,West Bengal,033-23357379/0765/0500/0534,"nujs@vsnl.com,nujs@cal3.vsnl.net.in",www.nujs.edu
West Bengal State University, ,West Bengal,033-2541975-19779,kamles_bhaumik@yahoo.com,-
West Bengal Survey Institute, ,West Bengal,2631-2588,-,-
West Bengal University Of Animal & Fishnery Sciences, ,West Bengal,91-33-5565021,-,www.wbuafscl.ac.in
West Bengal University Of Technology, ,West Bengal,-,-,www.wbut.net
WEST FORT HIGHER EDUCATION TRUST,TRICHUR ,Kerala,0487-2380039/2200501,whet@sify.com,www.whetindia.org
West Goalpara College,GOALPARA ,Assam,-,-,-
West Godavari Institute of Science & Engineering, ,Andhra Pradesh,"9951277789,9603277789",wise.wise@live.com,http://wisec.co.in/
West Guwahati College of Education, ,Assam,-,-,-
West Silchar College, ,Assam,-,-,-
"Western Maharashtra Nursing School ,Kolhapur",KOLHAPUR ,Maharashtra,-,-,-
"Westfort College Of Nursing , Thrissur",TRICHUR ,Kerala,-,-,-
"Westfort School Of Nursing,Thrissur",TRICHUR ,Kerala,-,-,-
Westin College Of Hotel Management,VIJAYAWADA ,Andhra Pradesh,"0866–2546765,5531641",info@westin.ac.in,-
WHEREAS MODELWAYS NURSERY TEACHER EDUCATION INSTITUTE, ,Delhi,-,-,-
WHITE MEMORIAL COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
"White Memorial College Of Nursing , Kanyakumari",KANYAKUMARI ,Tamil Nadu,-,-,-
White Memorial College of Physiotherapy,KANYAKUMARI ,Tamil Nadu,-,"mail@whitememorialcolleges.com,info@whitememorialcolleges.com",-
White Memorial Homoeopathic Medical College,KANYAKUMARI ,Tamil Nadu,-,-,-
