Y A Govt College For Women,CHIRALA ,Andhra Pradesh,08594–232204,-,-
"Y D Mane Institute Of Nursing,kolhapur",KOLHAPUR ,Maharashtra,-,-,-
"Y M T School Of Nursing,Mumbai",MUMBAI ,Maharashtra,-,-,-
"Y M T School Of Nursing,Mumbai",MUMBAI ,Maharashtra,-,-,-
Y V Rao Siddhartha College Education,VIJAYAWADA ,Andhra Pradesh,-,-,-
"Y,S.L. COLLEGE OF EDUCATION", ,Uttar Pradesh,-,-,-
Y. Subbi Reddy Memorial College,CUDDAPAH ,Andhra Pradesh,08562–244103,-,-
Y.C. Institute Of Science, ,Maharashtra,-,-,-
Y.D.D.Government First Grade College, ,Karnataka,-,-,-
Y.K. College, ,Manipur,-,-,-
Y.K.D Polytechnic, ,Karnataka,-,-,-
Y.M.S. DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Y.M.T. COLLEGE OF MANAGEMENT,MUMBAI ,Maharashtra,022-32995267,ymtden0@netscape.com,www.ymtcollegeofmanagement.org
Y.P.R. Degree College, ,Andhra Pradesh,08457–222991,yprcet@yahoo.com,-
Y.S.R. & B.S. Degree College,TADEPALLIGUDEM ,Andhra Pradesh,08818–224818,-,-
Yadav Deshmukh V.D. Arts & Commerce College, ,Maharashtra,-,-,-
Yadava College, ,Tamil Nadu,0452-2680362,info@yadavacollege.org/nagasindia@gmail.com,www.yadavacollege.org
YADAVA COLLEGE OF EDUCATION, ,Tamil Nadu,-,-,-
YADAVRAO TASGAONKAR INSTITUTE OF BUSINESS MANAGEMENT,RAIGAD ,Maharashtra,-,info@tasgaonkartech.com,-
Yadavrao Tasgaonkar Institute of Engineering,KARJAT ,Maharashtra,26551057/24318819/23,nanduyt@hotmail.com,www.nytasgaonkarcampus.com
"Yadavrao Tasgaonkar Institute of Pharmacy , Raigad",RAIGAD ,Maharashtra,"+91-2148-320596,+91-2148-320781,+91-2148-20201","info@tasgaonkartech.com,placement@tasgaonkartech.com",www.tasgaonkartech.com
Yadavrao Tasgaonkar Polytechnic, ,Maharashtra,320596,nanduyt@hotmai.com,www.tasgaonkartech.com
Yadgir Polytechnic, ,Karnataka,08473-253402,-,-
YADU NATH PAL SINGH COLLEGE, ,Uttar Pradesh,-,-,-
Yadunandan College, ,Bihar,-,-,-
YADUVANSHI INSTITUTE OF EDUCATION, ,Rajasthan,"1285-220512,9416063554",yaduvanshigroups@rediffmail.com,-
YADUVANSHI INSTITUTE OF EDUCATION, ,Haryana,-,-,-
"Yaduvanshi Polytechnic, Sohali", ,Rajasthan,99919-04068,yaduvanshiengg@gmail.com,-
YADUVANSHI TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
YADUVANSHI TEACHER TRAINING COLLEGE, ,Rajasthan,-,-,-
YADUVANSHI TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
YADUVANSI INSTITUTE OF EDUCATION, ,Haryana,-,-,-
Yagna Degree College,ARMOOR ,Andhra Pradesh,-,-,-
Yagyavalkya Institute of Technology YIT, ,Rajasthan,"0141-2770593,94,97,5136180",info@yitjpr.com,-
Yalamarthy Institute Of Computer Science,VISAKHAPATNAM ,Andhra Pradesh,-,yalamartymcacollege@yahoo.com,-
"Yalamarty D.Pharmacy College, Visakhapatnam",VISAKHAPATNAM ,Andhra Pradesh,08933-200102,info@yalamartyeducation.com,www.yalamartyeducation.com
Yalamarty Institute Of Computer Sciences, ,Andhra Pradesh,"08933-200100,9949482877",yalamartymcacollege@yahoo.com,-
YAMAKANAMARDI VIDYAVARDHAK SANGH, ,Karnataka,-,-,-
Yamuna Institute of Engineering & Technology, ,Haryana,"+91-1732-286745,286750,287074,287075","info@yiet.org,yietgadholi@gmail.com",http://www.yiet.org
YAMUNABAI KURHE B.ED COLLEGE, ,Maharashtra,-,-,-
YANAM SCHOOL OF EDUCATION, ,Pondicherry,-,-,-
"Yash Institute Of Nursing,Yavatmal",YAVATMAL ,Maharashtra,-,-,-
YASH SHIKSHAN SANSTHA N AND GRAMIN VIKAS SAMITI, ,Madhya Pradesh,-,-,-
Yash Special Teacher Training Institute,WASHIM ,Maharashtra,"07521-219063,09325430921",-,-
YASH TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
"Yashas College Of Nursing,Bangalore",BANGALORE ,Karnataka,-,-,-
Yashawantrao Chavan College, ,Maharashtra,-,-,-
Yashawantrao Chavan College, ,Maharashtra,-,-,-
"Yashoda College Of Nursing , Hyderabad",HYDERABAD ,Andhra Pradesh,-,-,-
YASHODA NANDAN HARIBANS MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
YASHODA NANDAN HARIBANS MAHAVIYALAYA, ,Uttar Pradesh,-,-,-
YASHODA NANDAN HARIBANSH MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
"Yashoda School Of Nursing , Hyderabad",HYDERABAD ,Andhra Pradesh,"040-24555555,24072334",-,www.yashodahospitals.com
Yashoda Shikshan Prasarak Mandals,SHOLAPUR ,Maharashtra,-,-,-
YASHODA TEACHER TRAINING INSTITUTE, ,Tamil Nadu,-,-,-
"Yashodhara Nursing Institute,,Solapur",SHOLAPUR ,Maharashtra,-,-,-
YASHOGATHA SHIKSHAN PRASARAK MANDAL, ,Maharashtra,-,-,-
"Yashraj Institute Of Professional Studies ,Kanpur",KANPUR ,Uttar Pradesh,-,-,-
"Yashraj Institute Of Professional Studies ,Kanpur",KANPUR ,Uttar Pradesh,-,-,-
Yashratna College of Special Education Mental Retardation,NAGPUR ,Maharashtra,07104-258758,satyam_lb@yahoo.co.in,-
"Yashvantrao Chavan College of Pharmacy , AHMEDNAGAR",AHMEDNAGAR ,Maharashtra,"+912412421134,2421138",yccpahmednagar@yahoo.co.uk,www.yccpahmednagar.org
Yashvir Memorial Technical Institute, ,Haryana,"01686287477,287677",-,www.ymti.org
YASHWANT JUNIOR COLLEGE OF EDUCATION, ,Maharashtra,-,-,-
Yashwant Mahavidyalaya,NANDED ,Maharashtra,"(0)(02462)-53471,R-52435/254850",ssbesitm@yahoo.com,www.ssbesitm.org
"Yashwant Nursing School,Beed",BEED ,Maharashtra,-,-,-
"Yashwant Nursing School,Latur",LATUR ,Maharashtra,-,-,-
Yashwant Rao Chavan Arts & Commerce Mahavidyalaya, ,Maharashtra,-,-,-
Yashwant Rao Chavan Arts And Commerce College, ,Maharashtra,-,-,-
Yashwant Rao Chavan College Of Arts Commerce & Science, ,Maharashtra,-,-,-
Yashwant Rao Chavan College Of Science, ,Maharashtra,-,-,-
Yashwant Rao Chavan Law College,KARAD ,Maharashtra,02164-242165,yclc@bharatividyapeeth.edu,http://yclc.bharatividyapeeth.edu
Yashwant Rao Chavan Maharashtra Open University, ,Maharashtra,910253351716,rkmalunjkar@gmail.com,www.ycmou.com
Yashwant Rao Chavan Mahavidyalaya, ,Maharashtra,-,-,-
Yashwant Rao Chavan Mahavidyalaya, ,Maharashtra,-,-,-
Yashwant Rao Chavan Mahavidyalaya, ,Maharashtra,-,-,-
Yashwant Rao Chavan Warana Mahavidyalaya, ,Maharashtra,-,-,-
YASHWANT RAO MOHITE INSTITUTE OF MANAGEMENT,SATARA ,Maharashtra,02164-241259/321,bvmtkarad@sancharnet.in,www.bhartividyapeeth.edu
YASHWANTRAO CHAVAN MARATHWADA OPEN UNIVERSITY, ,Maharashtra,+91-253-2231714/2231715/2230459,openuniv@bom6.net.in/registrar@ycmou.com,-
Yashwantrao Chavan School of Social Work, ,Maharashtra,-,-,-
Yashwantrao Chavan Shikshan Prasarak Mandal's Dadasaheb DS Patil Arts Comm & Sc College, ,Maharashtra,-,-,-
Yasin Meo College, ,Haryana,-,-,-
"Yasodha School Of Nursing ,kancheepuram",KANCHIPURAM ,Tamil Nadu,-,-,-
"Yavatmal Zilla Vikas Samiti Pataldhamal Wadhwani, D. Pharmacy College , YAVATMAL",YAVATMAL ,Maharashtra,07232-238747,pwcopytl_yml@sancharnet.in,www.pwcpharmacy.edu.in
YE - BHADUR SINGH MAHAVIDYALAYA, ,Uttar Pradesh,-,-,-
YELLALING EDUCATION TRUST, ,Karnataka,-,-,-
Yellamma Dasappa Institute of Technology,BANGALORE ,Karnataka,080-28435829/28435095/22717988,principalydit@yahoo.com,www.ydit.com
"Yenepoya College Of Nursing , Mangalore",MANGALORE ,Karnataka,-,-,-
"Yenepoya Dental College & Hospital , Mangalore",MANGALORE ,Karnataka,+918242204668/69/70,reachus@yenepoya.org,www.yenepoya.edu.in
"Yenepoya Institute Of Nursing Sciences , Mangalore",MANGALORE ,Karnataka,-,-,-
"Yenepoya Medical College, Mangalore",MANGALORE ,Karnataka,0824-2204668/69/70,ymdccampus@satyam.net.in,-
"Yenepoya Nursing College ,Dakshina Kannada", ,Karnataka,-,-,-
"Yenepoya Nursing College,Mangalore",MANGALORE ,Karnataka,-,-,-
"Yeola Nursing School,nashik",NASHIK ,Maharashtra,-,-,-
"Yerala Medical Trust & Research Centres Dental College & Hospital , Navi Mumbai",MUMBAI ,Maharashtra,"+91-22-27564429,27577936",-,-
"Yerala School Of Nursing, Mumbai",MUMBAI ,Maharashtra,-,-,-
Yerneni Venkata Nageswara Rao Govt Degree College,KRISHNA ,Andhra Pradesh,-,-,-
YESH BAHUUDESHIYA SHIKSHAN SANSTHA, ,Maharashtra,-,-,-
Yeshwant Mahavidyalaya, ,Maharashtra,-,-,-
Yeshwantrao Chavan College of Engineering,NAGPUR ,Maharashtra,(0712)-2249462/3095207,yccet_ngp@sancharnet.in/info@ycce.edu,www.ycce.edu
Yeshwantrao Chavan College Of Engineering, ,Maharashtra,-,-,-
Yingli College, ,Nagaland,-,-,-
YMCA COLLEGE OF PHYSI EDUCATION, ,Karnataka,-,-,-
YMCA COLLEGE OF PHYSICAL EDUCATION, ,Tamil Nadu,-,-,-
YMCA College of Physical Education, ,Tamil Nadu,-,-,-
YMCA Institute of Engineering & Technology, ,Haryana,"0129-2242143,2247197,9811735202",contact@ymcaust.ac.in,www.ymcaust.ac.in
YMCA University of Science & Technology, ,Haryana,0129-2310126,contact@ymcaust.ac.in,http://ymcaust.ac.in/
Yogada Satsangha Palpara Mahavidyalaya, ,West Bengal,-,-,-
Yogananda Institute of Technology & Science, ,Andhra Pradesh,0877-2274699,yitstirupati@gmail.com,www.yitsdmr.com
Yogeshwari Science Mahavidyalaya, ,Maharashtra,-,-,-
Yogi Vemana University Kadapa,CUDDAPAH ,Andhra Pradesh,"08562225411,225429,225400,225438",info@yogivemanauni.in,http://www.yogivemanauniv.in/
Yogiji Maharaj Mahavidyalaya Mahila Arts Commerce College, ,Gujarat,-,-,-
YOGINATH DEGREE COLLEGE, ,Uttar Pradesh,-,-,-
Yogiraj Institute of Technology, ,Rajasthan,0744-2405572,ajaytjs@jainir.com,-
"Yogita Dental College & Hospital , Ratnagiri",RATNAGIRI ,Maharashtra,-,dean@yogitadentalcollege.com,www.yogitadentalcollege.com
"Yogmani Institute Of Nursing ,Jabalpur",JABALPUR ,Madhya Pradesh,-,-,-
Yogoda Satsanga Palpara Mahavidyalaya, ,West Bengal,-,-,-
Yogwashistha Shikshan Prarak Mandal Polytechnic, ,Maharashtra,223350,muktshwaritcollege@gmail.com,-
Younus College of Engineering & Technology,KOLLAM ,Kerala,0474-2724305/2729131,info@ycet.org,www.ycet.ac.in
"Youth School Of Nursing , Anantapur",ANANTAPUR ,Andhra Pradesh,-,-,-
YPS MEMORIAL TEACHER TRAINING COLLEGE, ,Haryana,-,-,-
YSL COLLEGE OF EDUCATION, ,Uttar Pradesh,-,-,-
YUGANTAR EDUCATION SOCIETY TIRPUDE COLLEGE OF SOCIAL WORK,NAGPUR ,Maharashtra,0712-2525781,dmsrtcsw_ngp@sancharnet.in,www.dnsrtcsw.org
Yugantar Institute of Technology & Management,RAIPUR ,Chhattisgarh,07744220780,yitm1@yahoo.co.in,-
YUVA RASHTRA SANT BHAYYUJI MAHARAJ B. ED WOMENS COLLEGE, ,Maharashtra,-,-,-
YUVA VYAVSAIK SHIKSHAN MAHAVIDYALAYA, ,Madhya Pradesh,-,-,-
Yuvarajas College, ,Karnataka,-,-,-
Yuvraj Dutt (PG) College, ,Uttar Pradesh,05872-263188,ydpgcollege@ymail.com,http://www.ydpgcollege.com
Yuvraj Pratap Singh Memorial Homoeopathic Medical College, ,Rajasthan,-,-,-
Yuvraj Subhaghsinhji Arts And Sri K S Commerce College, ,Gujarat,-,-,-
